EC	A007	A008	A011	A016	A020	A024	A025	A033	A035	A036	A040	A042	A045	A052	A056	A060	A063	A002	A004	A006	A012	A014	A015	A018	A022	A026	A028	A030	A031	A032	A041	A044	A047	A050	A051	A057	A061	A062
Pyruvate synthase (1.2.7.1)	0.000118	0.000301973	8.4652e-05	5.99683e-05	0.000110475	1.13126e-05	9.67415e-05	0	2.5302e-05	0.000759722	0.000417388	0	0.000835874	0.00130807	0.000218672	2.90608e-05	0.00056997	0.000875407	0.000702065	0.000536987	0	6.32153e-05	0.00103675	3.3142e-05	4.23269e-05	5.59181e-05	0	0.000195697	8.67052e-05	0.00134365	2.22718e-05	0.000260845	4.3375e-05	4.57761e-05	9.07047e-05	0.000114948	0.000242092	0.000113568
Anaerobic carbon-monoxide dehydrogenase (1.2.7.4)	3.80849e-05	0.000220924	7.93345e-05	9.93157e-06	6.40764e-06	1.13275e-05	6.41833e-05	3.2172e-05	0.000183747	0.000194157	4.50989e-05	4.16801e-05	1.45794e-05	0	7.42052e-06	9.30663e-05	0	0	0	0	6.04663e-05	1.73973e-05	0	2.82883e-05	0	5.87949e-05	0	7.48153e-05	3.90504e-05	0	1.31563e-05	4.2673e-05	0	9.46465e-06	1.94914e-05	6.24397e-05	0.000141527	9.90732e-05
3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) (1.2.7.7)	0.000285713	5.54894e-05	0.000824292	0.000170437	0.000409584	0.000491681	0.000427055	0.000543168	0.000646467	0	3.65408e-05	0.000277727	0.000192143	0.000281602	0.000316737	0.000274865	0.000303688	2.08133e-05	0.000136861	0.000219368	0.000646419	0.000693959	4.3245e-05	0.000583928	0.000910101	0.000363313	0.000451625	0.000239816	0.000574431	0.000255881	0.000237286	0.000552073	0.000453792	0.000476638	0.00018834	0.000249473	2.40165e-05	0.000668458
Indolepyruvate ferredoxin oxidoreductase (1.2.7.8)	0.00139075	0.000808679	0.00199689	0.00108517	0.0013472	0.00164597	0.00138088	0.00135279	0.00191368	3.83685e-05	0.00010802	0.00164126	0.000412301	0.00075108	0.00159436	0.00153698	0.00115313	0.000555922	0.000336259	0.000776101	0.00193067	0.0021321	2.70495e-05	0.0018575	0.00237742	0.00150708	0.00246606	0.00121575	0.00179971	0.000641911	0.00149713	0.00142759	0.00168995	0.00200648	0.00163338	0.00203426	0.000430403	0.00188565
Transferred entry 1.2.7.4 (1.2.99.2)	1.71862e-05	0.000256305	3.6446e-05	5.35375e-05	4.86518e-05	5.34441e-06	0.000242579	7.05007e-05	0.000144622	0.000520393	3.84584e-05	1.05973e-05	4.21697e-05	1.264e-05	0.000212556	3.40118e-05	0.000109721	6.01571e-05	6.12458e-05	1.91556e-05	1.85025e-05	9.44334e-05	5.22423e-05	0.000113671	5.08816e-05	0.00026737	1.23918e-05	4.34309e-05	0.000175361	3.41034e-05	8.99762e-06	8.13245e-05	4.98444e-05	0	0.000292437	8.40956e-05	0.000167488	0.000338932
Arsenate reductase (glutaredoxin) (1.20.4.1)	0.00114404	0.000221292	0.002182	0.000798317	0.00166894	0.00101589	0.000682257	0.000518912	0.00078731	0.00030394	0.000580366	0.000962934	0.000108944	0.000264064	0.000980035	0.0012882	0.000589597	5.59827e-05	0.000220648	0.000273833	0.00164978	0.00105782	1.70844e-05	0.000836927	0.00108288	0.000929351	0.000724699	0.000488132	0.000802403	0.000203511	0.00170078	0.000662285	0.00118747	0.000916962	0.000336491	0.000676455	0.00100765	0.000933699
Dihydrouracil dehydrogenase (NAD(+)) (1.3.1.1)	0.000437968	0.000427179	0.000352324	0.000394706	0.00061803	0.000362599	0.000122446	0.000103379	0.000101853	9.39127e-05	0.000856515	0.00048298	0.000834899	0.000910992	0.00102872	0.000409329	0.000420826	0.000761538	0.000800525	0.000396817	0.000197836	0.000344511	0.000897346	0.000135298	0.000235957	0.000237835	0.000189919	0.000768082	0.000228186	0.00100972	0.000773579	0.000571452	0.000164651	9.26238e-05	4.18706e-05	4.59338e-05	0.000462012	6.4975e-05
Prephenate dehydrogenase (1.3.1.12)	3.49888e-05	0.00015649	2.95163e-05	0.000117036	7.26263e-05	0	3.10155e-05	1.59012e-05	0.000135015	0.000464221	0.000190965	2.14692e-05	2.72164e-05	0	0.00019748	8.24018e-05	2.83856e-05	0	2.65303e-05	0	2.38413e-05	5.51672e-05	6.24227e-05	2.66422e-05	5.16931e-05	2.94572e-05	0	0.000121214	4.07171e-05	0	4.00092e-05	4.01529e-05	0	9.43305e-05	0.000110151	0.000103704	0.00010633	3.60916e-05
Dihydroorotate dehydrogenase (NAD(+)) (1.3.1.14)	0.000534167	0.000195688	0.000871409	0.000692081	0.000727493	0.000860604	0.000519788	0.000487282	0.000672452	5.53047e-05	3.8426e-05	0.00101984	0.000139093	0.00027115	0.00116087	0.00079374	0.000514373	3.98826e-05	0.000103844	0.000149246	0.000944798	0.000862344	0	0.00078374	0.00107924	0.000585182	0.000771021	0.000725826	0.000774354	0.000287657	0.00132108	0.000630254	0.000707979	0.000799764	0.000212936	0.00048127	7.5432e-05	0.000818386
Transferred entry 1.17.1.8 (1.3.1.26)	0.000450009	0.000176223	0.00135628	0.000325198	0.0013364	0.000438946	0.000494676	0.000469736	0.000522313	0	1.99859e-05	0.000736962	8.83636e-05	0.000372052	0.00071118	0.000800796	0.000282585	6.87439e-05	7.29876e-05	0.000121251	0.000977183	0.00107162	2.04362e-05	0.000814402	0.00112377	0.000573316	0.000612957	0.000632655	0.000609321	0.000193913	0.00115469	0.00084406	0.000628433	0.000680449	0.0002489	0.000354343	4.31621e-05	0.000821408
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (1.3.1.28)	0.000140414	3.31339e-05	0.000215211	7.05294e-05	0.000174793	0	1.61937e-05	0	0	5.96099e-05	0.000289396	0	6.41026e-06	0	0.000122026	7.28081e-05	0	0	0	0	0	0	0	0	0	0	0	0.000149328	0	0	0	5.36031e-05	0	0	0	0	0.00042412	0
2,4-dienoyl-CoA reductase (NADPH) (1.3.1.34)	0.000343767	0.000161155	0.000847657	0.000194226	0.000566693	9.82309e-05	0.00014413	0.000125141	7.72872e-05	0.000198047	0.000413038	0.000159901	4.83918e-05	7.89645e-05	0.000102064	0.00016049	0.000133996	0	2.18455e-05	1.77879e-05	0.00034427	0.000404975	0	0.000420102	0	0.000232887	0	0.000270841	0.000160262	0	0.000184331	0.000397388	5.15764e-05	0.000278275	8.7449e-05	0.000102287	0.00041529	0
Arogenate dehydrogenase (1.3.1.43)	0.000104376	0.000424904	1.7571e-05	0.000143056	2.99441e-05	9.62714e-06	0.000226594	9.39459e-05	9.56982e-05	0.000197279	0.000197681	0.000119042	4.72989e-05	0	2.65454e-05	0	0.000121971	6.01552e-05	1.61281e-05	0	2.96045e-05	4.28377e-05	3.5718e-05	0.000101119	4.44394e-05	0.000146934	0	2.39732e-05	0.000157124	0	1.45634e-05	7.18351e-05	1.30894e-05	0	0.000134718	0.000113137	9.51605e-05	0.000171401
Trans-2-enoyl-CoA reductase (NAD(+)) (1.3.1.44)	6.79224e-05	0.00011755	1.88964e-05	0.000109379	0	0	0.000123782	1.67624e-05	0.000151473	1.96748e-05	5.91976e-06	0	0	0	0	0	0	0	1.39039e-05	0	1.89378e-05	1.73729e-05	0	5.5736e-05	0	5.73e-05	0	0	1.46615e-05	0	0	1.39715e-05	1.39181e-05	0	4.67607e-05	6.77769e-05	2.30208e-05	0.000137665
Precorrin-6A reductase (1.3.1.54)	1.3303e-05	0.00028298	2.98424e-05	8.45982e-05	0	7.85705e-06	0.00017009	1.58758e-05	0.000179742	0.000278723	5.60573e-05	0	0	1.53419e-05	9.23596e-05	4.74157e-05	0.000109486	2.32122e-05	0	1.72012e-05	4.09091e-05	5.84075e-05	8.31835e-05	0.000168536	0	0.000201531	0	1.39841e-05	0.000171214	4.40515e-05	0	3.79668e-05	4.70161e-05	9.43577e-06	0.000162995	2.80066e-05	9.88964e-05	0.000262663
Precorrin-2 dehydrogenase (1.3.1.76)	0.000426168	0.000647221	0.000356862	0.00055153	0.000162507	4.56847e-05	0.00039786	8.55061e-05	0.000576263	0.00115639	0.000607467	1.36231e-05	0.000173199	2.60605e-05	0.000313957	0.000209332	0.000875572	0.000742095	0.000108129	0.000124483	6.17013e-05	0.000103578	0.00030689	0.000209507	0.000200294	0.000440363	3.6675e-05	0.000178146	0.00023278	8.21633e-05	1.14754e-05	0.000229663	4.95162e-05	7.13124e-05	0.000456272	0.000241392	0.000804842	0.000546497
Enoyl-[acyl-carrier-protein] reductase (NADH) (1.3.1.9)	0.00134971	0.000728994	0.0017891	0.0012206	0.00176848	0.00185961	0.00108957	0.00182673	0.00162197	0.000453865	0.000996627	0.0016919	0.00281194	0.00268485	0.00150932	0.00135962	0.00209962	0.00243386	0.00261762	0.00273637	0.00191604	0.00188419	0.0033688	0.00178807	0.00152092	0.00132609	0.00226335	0.00185455	0.00148048	0.00235337	0.00191574	0.00193247	0.00163744	0.001884	0.00106663	0.00144751	0.000528487	0.000989006
tRNA-dihydrouridine(20) synthase (NAD(P)(+)) (1.3.1.91)	2.44376e-05	3.59792e-05	2.96768e-05	0.000128686	3.62417e-05	0.000178841	0	0	1.55662e-05	0.000136019	0.000128312	1.05426e-05	3.33765e-05	4.28626e-05	1.72282e-05	7.52117e-05	0	8.51134e-05	5.47388e-05	4.05292e-05	1.54385e-05	5.43148e-05	0	3.46663e-05	0	4.03352e-05	3.79253e-05	8.46151e-06	0	1.95965e-05	1.86187e-05	4.51772e-05	0	4.45226e-05	3.11483e-05	2.41255e-05	1.87702e-05	0
UDP-N-acetylmuramate dehydrogenase (1.3.1.98)	0.00149278	0.00210634	0.00149242	0.00141331	0.00122864	0.00150283	0.00151857	0.00142462	0.00207685	0.00168568	0.00173242	0.00119262	0.00257177	0.00203875	0.00162717	0.00126693	0.00205521	0.00231469	0.00243444	0.00201417	0.0013796	0.00154246	0.00204859	0.00150188	0.00149812	0.00188946	0.00210867	0.0018127	0.00179078	0.0023202	0.00188185	0.00157831	0.00142786	0.00147647	0.00208378	0.00180133	0.001695	0.00171683
Coproporphyrinogen oxidase (1.3.3.3)	0.00010152	4.07102e-05	8.93298e-05	0.000105342	0.000130448	0	0	0	0	0.000132354	0.000718466	0	0	0	1.91489e-05	9.35994e-05	0	0	0	0	0	0	0	0	0	6.48576e-06	0	4.20519e-05	0	0	0	9.90012e-05	0	0	0	0	0.000127113	0
Protoporphyrinogen oxidase (1.3.3.4)	0.000154953	2.35026e-05	0.000166076	0.000326921	0.000161233	0	0	1.12391e-05	0.000283086	0.000236646	0.000150353	9.67545e-05	0.000273586	2.93106e-05	0.000384939	0.00022004	2.65527e-05	0	0	0	1.2644e-05	1.20201e-05	0	4.72114e-05	1.41903e-05	5.38717e-05	0	0.000166444	0	2.49207e-05	0.000135575	7.38119e-05	1.62857e-05	0.000136399	0	0	0.00018092	0
Succinate dehydrogenase (quinone) (1.3.5.1)	0.000625564	0.000574077	0.00140734	0.000684697	0.000895984	0.000829874	0.000712531	0.000723845	0.000915614	0.000426307	0.000510195	0.000435567	0.000265299	0.000556303	0.000520731	0.000568696	0.000571376	0.00017295	0.000209328	0.000344647	0.000876786	0.00108742	0	0.000908695	0.0012721	0.000652186	0.000904679	0.00105088	0.000876185	0.000287999	0.000375643	0.00088073	0.000737836	0.000874324	0.000407617	0.000564027	0.000539614	0.000831811
Dihydroorotate dehydrogenase (quinone) (1.3.5.2)	0.000335132	0.000756782	0.000154277	0.000440976	0.000141793	0.000309184	0.000123186	0.000333674	0.000271197	0.00025844	0.000558816	0.000244011	0.000126612	8.2888e-05	0.000190973	0.000362092	0.000142191	0.000177203	0.000189844	9.24848e-05	9.84392e-05	9.79298e-05	0	0.000423905	0.00015181	0.000199708	0.000109973	0.000661016	0.000142528	9.21935e-05	0.000512175	0.000194164	8.20064e-05	0.000430404	0.000701825	0.000173873	0.000627931	0.000137322
Protoporphyrinogen IX dehydrogenase (menaquinone) (1.3.5.3)	0.000185608	2.83615e-05	0.000174489	3.4864e-05	0.000221922	0	0	0	0	0.000145852	0.00032309	0	0	0	9.27886e-05	0.000112915	0	0	5.44339e-05	6.03066e-05	0	0	0	0	0	2.53812e-05	0	0.000118016	0	0	0	5.89508e-05	1.29278e-05	0	0	0	0.000260631	0
Fumarate reductase (quinol) (1.3.5.4)	3.92266e-05	7.93583e-06	4.69818e-05	0.00010108	3.63622e-05	0.000169417	0	0	0	0.000127848	0.00018295	0	3.23808e-06	0	1.74241e-05	1.32522e-05	0	9.59095e-05	7.57342e-05	4.51103e-05	0	0	0	0	0	5.38059e-06	0	2.89615e-05	0	0	0	8.53551e-06	0	0	0	0	9.24306e-05	0
Benzoyl-CoA reductase (1.3.7.8)	0.000121977	0.000544091	0.000102153	2.79188e-06	7.99265e-05	0	8.60463e-05	3.36692e-05	0.000136624	2.91144e-05	0.000172121	0	9.33017e-06	0	0	0	0	0	0	0	0	8.81032e-06	0	1.20015e-05	0	7.23271e-05	0	2.56325e-05	6.32409e-05	0	0	5.26145e-05	0	0	0	0	0.000274607	0
4-hydroxybenzoyl-CoA reductase (1.3.7.9)	0.000495976	0.000778292	0.000338963	0.000376737	0.000199216	1.88539e-05	0.000425883	0.000150049	0.000327437	0.000182426	0.000848699	0.000147428	4.29379e-05	0	8.58909e-05	0.000189631	0.000199951	0.000107755	5.19608e-05	8.42229e-05	5.62726e-05	9.9302e-05	3.57368e-05	0.000160558	6.89124e-05	0.000317082	0	0.000202359	0.00032707	3.47551e-05	0	0.000293956	9.51765e-05	2.28819e-05	0.000336101	0.000299388	0.000691861	0.000547917
Short-chain acyl-CoA dehydrogenase (1.3.8.1)	0.000149327	0.000543317	0.000162051	0.000195443	6.79634e-05	1.96844e-05	0.000832956	0.000478038	0.000468562	0.000495099	0.000300415	0.000268002	0.000125766	0.000105353	0.000521105	6.13056e-05	0.000300104	0.000280459	0.000133538	0.000198437	0.000204103	0.000292222	0.000145241	0.000189576	9.49976e-05	0.000496256	7.40851e-05	0.00019679	0.000478666	0.000229804	0	0.000128953	0.000110492	0.000103272	0.000940245	0.000447149	0.000322904	0.00047219
Dihydroorotate oxidase (fumarate) (1.3.98.1)	0.000446841	0.000225556	0.000114904	0.000336151	0.000441476	0.000365461	0.000144013	0.000216355	0.000212472	8.92577e-06	0.000263451	0.000596471	5.4937e-05	9.85881e-05	0.000990536	0.000318188	0.000153213	1.64937e-05	2.82476e-05	4.57198e-05	0.000350846	0.000383881	0	0.000135298	0.000249473	0.000187714	0.000270497	0.000490058	0.00024674	0.000137351	0.000784835	0.000288654	0.000204277	0.00014221	6.14659e-05	0.000227304	8.72226e-05	3.84563e-05
Coproporphyrinogen dehydrogenase (1.3.98.3)	0.000249869	0.000210433	0.000326727	0.000426835	0.000323944	2.76156e-05	0.000258239	4.65869e-05	0.000350907	0.00064852	0.000788103	0.000187535	0.000355408	7.33243e-05	0.000475363	0.000401328	0.000158216	1.54824e-05	8.88586e-05	6.74655e-05	7.14049e-05	9.95864e-05	2.76554e-05	0.000245201	5.17547e-05	0.0003399	2.06268e-05	0.00047627	0.000173363	6.02351e-05	0.000151995	0.00025528	8.02852e-05	0.000210943	0.000202784	0	0.00053079	0.000156006
Deleted entry (1.3.99.1)	0.000144214	0.000268259	6.02806e-05	0.000210879	1.64406e-05	7.49228e-05	0.000380724	0.000108578	0.000334229	0.000165817	0.000114112	6.00519e-05	0.000186476	0.000183335	0.000113131	8.26127e-05	0.000374865	9.45464e-05	0.000183606	0.00034223	3.14617e-05	0.000166016	8.21247e-05	0.000204512	0.000315127	0.000328374	0.000306735	0.000480978	0.00057044	1.91075e-05	0	0.000139466	5.27001e-05	0.000340275	0.0004263	0.000525541	0.00026433	0.000163863
Transferred entry 1.3.98.3 (1.3.99.22)	9.97214e-06	0.000474013	0	9.84972e-05	0	1.27663e-05	0.00015251	0.000135782	8.54383e-05	0.000898048	0.000433095	2.21463e-05	0.000775648	0.00106979	8.925e-05	0.00011618	0.000529542	0.000977647	0.00100482	1.55192e-05	6.32173e-05	0.000121756	0.0010541	0.000107782	9.81628e-05	0.000108262	2.70792e-05	3.26233e-05	9.02536e-05	0.00123836	1.03217e-05	0.00049533	3.78076e-05	0	0.000219025	0.000109225	0.000110769	0.000109242
3-oxo-5-alpha-steroid 4-dehydrogenase (acceptor) (1.3.99.5)	0.000103944	0	0	0.000192428	0.000513394	0.000218191	5.35859e-05	7.39779e-05	9.28849e-05	0	0	0.000298249	1.71661e-05	0	0.000633084	0.000261241	5.70553e-05	0	0	0	0.000194355	0.000131033	1.68404e-05	5.43661e-05	0.000163942	6.45017e-05	8.97357e-05	4.27074e-05	3.0963e-05	2.75099e-05	0.000694586	3.52129e-05	9.58165e-05	1.39499e-05	3.77646e-05	3.35055e-05	0	0
Alanine dehydrogenase (1.4.1.1)	0.000860706	0.000346343	0.000888586	0.000838053	0.000877204	0.00123643	0.000702999	0.00105479	0.000829487	6.16872e-05	0.000501225	0.00109012	0.00230981	0.000735114	0.000976868	0.00118837	0.0018621	0.0028133	0.00261291	0.00142308	0.00126881	0.00111046	0.0027464	0.00109669	0.00118894	0.00072601	0.00178654	0.000622717	0.000998158	0.00194443	0.00129542	0.00123844	0.00112054	0.00127715	0.000422122	0.000923665	0.000179217	0.000926888
Glutamate synthase (NADPH) (1.4.1.13)	0.00163414	0.00187717	0.00260574	0.00138523	0.00203776	0.00108974	0.00182495	0.0011594	0.00148305	0.00200678	0.00273239	0.00106452	0.00270168	0.00273226	0.00095156	0.00125678	0.0023215	0.00267776	0.00277994	0.00147084	0.00140176	0.00164566	0.00309763	0.00188831	0.00236858	0.00139286	0.00106902	0.00156144	0.00167071	0.00273658	0.000882108	0.00246269	0.0013591	0.00127646	0.00120205	0.00108535	0.00244124	0.00262717
Glutamate synthase (NADH) (1.4.1.14)	3.76372e-05	0.000423956	2.98668e-05	0.000170814	0	0	0.000320954	0.000107488	0.00013897	0.000314453	8.60971e-05	0.000147032	5.49272e-05	1.40586e-05	3.97504e-05	3.85347e-05	4.72455e-05	1.97364e-05	4.77063e-05	0	5.19987e-05	0.000132225	3.95428e-05	0.00013213	0.000198642	0.000181746	0	1.23276e-05	0.000230347	5.35895e-05	0	0.000180506	4.3712e-05	3.43732e-05	0.000211961	0.000152231	0.000254213	0.000308038
Diaminopimelate dehydrogenase (1.4.1.16)	0.00116503	0.00114139	0.00164285	0.00106613	0.00134926	0.0017104	0.00125328	0.00174717	0.00157213	0.00137264	0.000665284	0.00139974	0.00188853	0.00218673	0.00129075	0.00124554	0.00186428	0.00214652	0.00192323	0.00187217	0.00173455	0.00172111	0.002844	0.00129868	0.00136461	0.00108157	0.00154898	0.00123644	0.00137332	0.0019394	0.00143449	0.00167104	0.00146601	0.00153525	0.000734861	0.00103037	0.000421212	0.00122615
Glutamate dehydrogenase (1.4.1.2)	0.000999299	0.000215301	0.00112067	0.000767418	0.00103147	0.00137298	0.000745355	0.00123766	0.000708425	1.0477e-05	3.83772e-05	0.00124635	0.000174651	0.000388427	0.00091104	0.00120728	0.000657179	0.000198679	0.000115602	0.000194442	0.00140749	0.001179	3.12217e-05	0.00108111	0.00101132	0.000717856	0.00100097	0.000628197	0.00101547	0.000314041	0.00140645	0.000853625	0.00118704	0.00120016	0.000515859	0.000787378	0.000177821	0.000788204
Aspartate dehydrogenase (1.4.1.21)	0.000125882	5.72077e-06	0	0.000170851	0.000644551	0.000230827	3.39174e-05	0.000105506	1.71742e-05	9.78246e-06	0	0.000386283	0	0	0.000937208	0.000315624	4.52156e-05	5.01649e-05	1.58881e-05	0	0.000205684	9.3276e-05	1.94006e-05	0.000197053	0.000118669	9.55069e-05	0.000150542	0	4.56614e-05	1.56236e-05	0.00063346	3.46504e-05	0.00014838	1.61677e-05	4.67038e-05	7.95587e-05	5.34379e-05	4.5449e-05
Glutamate dehydrogenase (NAD(P)(+)) (1.4.1.3)	0.00096682	0.000191304	0.00107568	0.000787517	0.00111814	0.00132814	0.00073714	0.00131958	0.000713496	1.19118e-05	3.38013e-05	0.00122863	0.000173242	0.000484779	0.000961659	0.00125416	0.000601282	0.000231059	0.000138966	0.00020149	0.00136969	0.00113582	2.84958e-05	0.000998272	0.00103705	0.000723384	0.000976903	0.000625115	0.00108899	0.000315747	0.00142912	0.000867769	0.0013326	0.00116926	0.00056398	0.000886322	0.000187594	0.000811816
Glutamate dehydrogenase (NADP(+)) (1.4.1.4)	0.000111257	5.04683e-05	0.000153506	9.19479e-05	0.000127012	0	1.11504e-05	0	0	4.88451e-05	0.000427175	0	6.89925e-05	0	4.01053e-05	4.20735e-05	0	0	7.04614e-05	3.4801e-05	9.4208e-06	2.55217e-05	0	0	1.42966e-05	2.50372e-05	0.000135294	0.000200505	1.44414e-05	0.000137812	0	4.95388e-05	0	0	3.56122e-05	5.1385e-05	0.000423922	0
L-aspartate oxidase (1.4.3.16)	0.00152484	0.00135131	0.00177773	0.00123633	0.00170418	0.00173785	0.00133532	0.00191765	0.0015913	0.000641796	0.000997823	0.00152212	0.000615888	0.00101579	0.00141949	0.00150627	0.0010173	0.000644748	0.000340139	0.000681548	0.00168432	0.00153751	0.000192815	0.00169495	0.00175893	0.0014227	0.00145141	0.00160958	0.0015997	0.000748983	0.00149056	0.00136171	0.00151678	0.00152081	0.00128252	0.0012961	0.00104279	0.00128044
Pyridoxal 5'-phosphate synthase (1.4.3.5)	0.000681021	0.000546141	0.000129696	0.000681549	0.00056523	0.000846196	0.000435178	0.000425431	0.000684788	0.000256757	0.000279679	0.000652725	0.00012499	0.000109259	0.00085386	0.00112265	0.000140918	0.000122409	7.10232e-05	0.000195449	0.000598671	0.000439509	4.18135e-05	0.000370528	0.00109901	0.000324157	0.00065414	0.000880445	0.000386371	0.000228489	0.000993254	0.000323742	0.00088396	0.000630764	5.77579e-05	0.000646836	0.000400495	0.000760421
Glycine dehydrogenase (aminomethyl-transferring) (1.4.4.2)	0.00115186	0.00101772	0.00107992	0.000830896	0.00108993	0.0010824	0.000716017	0.00136056	0.00159008	0.000819874	0.000750566	0.000960445	0.000307129	0.000511815	0.00136226	0.00113664	0.000750204	0.0002028	0.000326861	0.000673988	0.00109573	0.00106048	2.47604e-05	0.000969991	0.00116307	0.000919265	0.00311545	0.00168439	0.00114759	0.000397386	0.00113006	0.000728169	0.00102184	0.00123314	0.00154257	0.00113474	0.00102633	0.000701756
Glutamate synthase (ferredoxin) (1.4.7.1)	0	0.000275537	0	4.11659e-05	0	0	4.43163e-05	8.45095e-05	2.0895e-05	0.000363369	0.000276004	0	0.00117447	0.000758472	4.71873e-05	0	0.000563379	0.00116092	0.0012016	0.00114163	0	5.85539e-05	0.00152586	8.68769e-05	2.87239e-05	4.28394e-05	0	0.00016162	1.14569e-05	0.000775733	0	0.000332279	3.6044e-05	0	5.42737e-05	0	5.87331e-05	8.68429e-05
Pyrroline-5-carboxylate reductase (1.5.1.2)	0.00146719	0.00170891	0.00166436	0.00161302	0.00213445	0.00185972	0.00182102	0.00185238	0.00218819	0.00179641	0.000805363	0.00191489	0.000514353	0.000686073	0.0025803	0.00187152	0.00113876	0.000509415	0.0003397	0.000743003	0.00189129	0.00181144	0.000122981	0.00172142	0.00200907	0.00188907	0.00201351	0.00153016	0.00180682	0.000678129	0.0022267	0.00133192	0.0017728	0.00168231	0.00165767	0.00131914	0.0013147	0.00172532
Methylenetetrahydrofolate reductase (NAD(P)H) (1.5.1.20)	0.0017682	0.00245273	0.00250877	0.00171918	0.00201395	0.00200465	0.00214003	0.00232572	0.00225033	0.00215317	0.00153414	0.00213875	0.00291362	0.00258319	0.0015587	0.00168121	0.00226862	0.00295557	0.00253237	0.00213751	0.00223904	0.00248237	0.00274294	0.00226699	0.00265514	0.00217721	0.00167569	0.00208515	0.00206421	0.00241922	0.0021055	0.00242621	0.00218438	0.00220454	0.00228752	0.00187447	0.0016701	0.0028498
Dihydrofolate reductase (1.5.1.3)	0.00145176	0.00158297	0.00161638	0.00120512	0.00158168	0.00123131	0.00143382	0.00141159	0.00161439	0.00155246	0.00140029	0.00125744	0.00073011	0.000620528	0.0015991	0.00134423	0.000937862	0.000353404	0.000364272	0.00210273	0.00125213	0.00173877	0.000615199	0.00169626	0.00175889	0.00125218	0.00201281	0.00140588	0.00179346	0.000574126	0.00147245	0.00122648	0.00114666	0.00149415	0.0015881	0.000787187	0.00126473	0.00161305
6,7-dihydropteridine reductase (1.5.1.34)	0.000414794	8.11915e-05	0.00131352	0.000249649	0.000630189	0.00032489	0.000400624	0.000286034	0.000431955	5.90806e-05	0.000337214	0.000392803	7.27202e-05	0.000249281	2.50953e-05	0.000379731	0.000252447	2.03916e-05	5.04015e-05	0.000156093	0.000783355	0.000842033	1.08765e-05	0.000763555	0.000923151	0.000397764	0.000522535	0.000273332	0.000453114	0.000132489	0.00041768	0.000740394	0.000502348	0.000614007	0.000162711	0.000296425	0.000260369	0.000912383
Flavin reductase (NADH) (1.5.1.36)	0.000144934	4.22538e-05	0.000107223	0.000111478	6.34788e-05	8.00514e-06	1.13256e-05	0	0	8.51503e-05	4.5083e-05	0	1.9697e-05	0	0.000130404	0	0	0	0	0	0	0	0	0	0	2.72778e-05	0	0	0	0	0	0	0	0	0	0	0.000196405	0
FMN reductase (NADPH) (1.5.1.38)	9.04638e-05	7.74562e-05	4.91555e-05	0.000345563	2.50751e-05	0.000180814	4.9695e-05	5.21209e-05	0	6.15617e-05	0.000251543	0.00031395	2.98266e-05	4.84273e-05	6.3136e-05	0.000284544	5.42338e-05	0	0	3.3418e-05	9.51029e-05	0.000190626	0	0.000170209	0.000259532	9.66082e-05	0.0001384	0.000242059	9.11853e-05	0.000141173	0.00020147	0.000284136	6.88364e-05	0.00037145	1.39386e-05	0.00013578	0.000219016	0
FMN reductase (NAD(P)H) (1.5.1.39)	0.000534536	0.000626695	8.25708e-05	0.00032737	0.000444108	0.000616539	0.000245515	0.000473798	0.000262539	0.000164867	0.000138945	0.000413856	1.45089e-05	6.19201e-05	0.000962016	0.000558557	0.000184452	4.4459e-05	1.69753e-05	9.97076e-05	0.000589839	0.000336778	0	0.000252021	0.000261667	0.000275442	0.000210543	0.000171681	0.000262368	9.6518e-05	0.000828013	0.000160016	0.000631797	0.000397704	0.000126304	0.000395654	0.000223117	0.0001265
Methylenetetrahydrofolate dehydrogenase (NADP(+)) (1.5.1.5)	0.0012655	0.00175629	0.00135452	0.00128909	0.00138573	0.0015898	0.00209113	0.00153673	0.00190243	0.00129822	0.00129506	0.00126255	0.0020791	0.00196499	0.00146091	0.00138166	0.00171085	0.00229597	0.00203141	0.000909382	0.00156554	0.00160333	0.00187241	0.00167185	0.00153275	0.00172928	0.00204746	0.00177012	0.00178098	0.00227604	0.00122693	0.00150814	0.00142234	0.00154073	0.00238849	0.00175872	0.00147024	0.00168693
Saccharopine dehydrogenase (NAD(+), L-lysine-forming) (1.5.1.7)	5.07109e-05	0.000141455	5.79673e-05	9.58735e-05	0	9.47306e-06	0.000250775	7.66903e-05	6.49001e-05	0.000157514	0.00029115	0.000101393	0.00121138	0.00089772	0	0.000110697	0.000573575	0.00106442	0.00119314	0.00123936	5.21025e-05	9.81415e-05	0.00163685	0.000169189	7.32743e-05	0.000150459	0.000216445	5.69216e-05	0.000101167	0.000833519	1.50513e-05	0.000260654	5.63392e-05	1.36959e-05	0.000279079	0.000166581	0.000137677	7.57057e-05
Electron-transferring-flavoprotein dehydrogenase (1.5.5.1)	7.42905e-05	3.17506e-05	0.000120858	1.83615e-05	8.61299e-05	0	8.9873e-06	0	0	2.62416e-05	0.000304387	0	0	0	8.23964e-05	0.000118254	0	0	0	0	0	0	0	0	0	2.38082e-05	0	0.00021034	0	0	0	3.71301e-05	0	0	0	0	0.000227625	0
