	D605	D606	D607	D611	D612	D614	D616	D618	D619	D621	D624	D627	D629	D631	D632	D633	D636	D640	D641	D645	D646	D648	D678	D679	D680	D681	D683	D684	D685	D686	D687	C487	C488	C491	C492	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC12	NC13	NC14	B202	B204	B206	B207	B209	B211	B212	B223	B224	B226	B228	B230	B231	B232	B235	B236	B237	B238	B319	B320	B321	B322	B323
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.00131083	0.00122004	0.0	0.000776881	0.00114125	0.00296995	0.000649866	0.000394967	0.000955737	0.000403575	0.00280706	0.00171977	3.20869e-05	0.000662405	0.000434725	0.000107577	0.00142649	0.001859	0.00171988	0.000742495	0.0016175	0.000238322	0.000392968	0.000197641	0.000452962	0.000263258	0.0	0.00129797	0.00162223	0.00099807	0.000844075	0.000417083	0.000202258	0.00019116	2.37755e-05	0.00344614	0.00119907	0.00264972	0.000334916	0.00190741	0.00101723	0.000173204	0.000705693	0.00261915	0.00258455	0.00248926	0.00287857	0.00219163	0.000444751	0.0	0.000160291	4.56808e-05	1.57719e-05	0.000820892	6.10025e-05	0.000374401	0.000127807	0.000161533	7.51524e-05	2.29113e-05	0.000724239	0.000542517	0.000901975	0.000441025	0.000178983	2.99869e-05	0.000284283	0.000238354	0.00111097	5.4496e-05	0.000138226
HISDEG-PWY: L-histidine degradation I	0.00321335	0.00497143	0.00947107	0.00431941	0.00694124	0.00288479	0.00677174	0.0070197	0.00568039	0.00388439	0.00219909	0.00321673	0.00921716	0.00531713	0.00599173	0.00839839	0.00688195	0.00378581	0.0042276	0.00226982	0.00202005	0.00215441	0.00540122	0.000830407	0.00658616	0.00542939	0.00693104	0.00416999	0.00414632	0.00535789	0.00281159	0.00459208	0.00227275	0.00284444	0.00644285	0.000253251	0.00306649	0.00228029	0.00527242	0.00021067	0.00245851	0.00183471	0.00226869	0.000284067	0.00165657	0.00271715	0.00103059	0.00182611	0.00163346	0.00438965	0.00450076	0.00315222	0.00355961	0.00306643	0.00268834	0.00365474	0.00255946	0.0061536	0.00353728	0.00537087	0.00536473	0.00609168	0.00253384	0.00514527	0.00538759	0.003287	0.00291424	0.00320222	0.00258588	0.00261265	0.00359876
HISTSYN-PWY: L-histidine biosynthesis	0.00617815	0.00689881	0.0110315	0.00466536	0.00809372	0.00428723	0.00678756	0.00691679	0.00662735	0.00633091	0.00331852	0.00562651	0.00899431	0.0072268	0.00726123	0.00966205	0.00661502	0.005121	0.00534276	0.00845348	0.00554541	0.00712381	0.00943957	0.0156324	0.0064933	0.00845793	0.00912674	0.00748008	0.00688029	0.00712932	0.00671538	0.00695172	0.00673839	0.00644592	0.00885069	0.00441515	0.00812396	0.00441918	0.00931761	0.00505584	0.00769425	0.00717629	0.00326083	0.00555011	0.00408791	0.00693214	0.00329334	0.00452724	0.00873912	0.0097304	0.00837013	0.0106116	0.0103728	0.00718283	0.00939375	0.00874579	0.00999493	0.00991104	0.00829956	0.00980086	0.00782389	0.00722906	0.00644205	0.00846196	0.00961978	0.0105495	0.011433	0.00962402	0.00696823	0.0100997	0.00922301
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.00131984	0.000715515	6.84555e-05	0.00157852	0.000643778	0.00275192	0.000421668	0.000723003	0.00136932	0.000690148	0.00300428	0.00201673	5.56098e-05	0.000678683	0.000279514	0.000159928	0.000813626	0.00174753	0.00200898	0.000648668	0.00168939	7.85007e-05	0.000222893	0.000168652	0.00101027	0.000232675	0.000171573	0.00139166	0.00139799	0.000717224	0.000575027	0.000572145	0.00140924	0.00104135	8.64494e-05	0.00328538	0.000957564	0.00150226	0.000317571	0.00172101	0.000701523	0.00143879	0.00267057	0.00222426	0.00289519	0.000116689	0.00366429	0.00216284	0.000267287	7.52748e-05	0.000164899	4.32956e-05	0.000149736	0.000566034	1.66059e-05	0.000310276	0.000227391	0.00017235	7.62555e-05	0.000204778	0.000648222	0.00087033	0.0012805	0.000371021	0.000210407	5.94116e-05	0.000207376	0.000186971	0.00101752	8.72104e-05	5.50267e-05
HSERMETANA-PWY: L-methionine biosynthesis III	0.00340952	0.0049775	0.00260033	0.00416949	0.00180058	0.00341904	0.00494712	0.0021922	0.0055434	0.00413036	0.00312624	0.00297153	0.00220558	0.00373279	0.00387737	0.00214502	0.00265754	0.00465882	0.0038124	0.0043837	0.00424825	0.00708171	0.0052403	0.00299837	0.00357584	0.00423157	0.00361526	0.00331398	0.00426573	0.0033002	0.00588443	0.00452174	0.00391285	0.00404411	0.00455674	0.00368276	0.00546445	0.00552505	0.00394325	0.00661671	0.00460314	0.00472974	0.00160971	0.00500177	0.00372044	0.00557485	0.00420044	0.00436076	0.00522235	0.00440224	0.0047799	0.00349877	0.00276305	0.00534817	0.00569048	0.00375218	0.00484386	0.00318619	0.00458215	0.00307829	0.00360792	0.00342274	0.00406496	0.00323139	0.00363662	0.00512787	0.00387721	0.0051956	0.00441413	0.00497479	0.00637876
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.00971314	0.00822827	0.0106629	0.00682407	0.00910117	0.00675989	0.00732387	0.00582581	0.00784205	0.00732011	0.00664716	0.0059668	0.00893686	0.00782141	0.007585	0.00748313	0.00454302	0.00658552	0.00603595	0.00845318	0.0061713	0.00912002	0.00856825	0.00327361	0.00426891	0.00749967	0.00660146	0.0102077	0.00673992	0.00669882	0.00992752	0.00684138	0.00970863	0.0081633	0.00755725	0.00795566	0.00865981	0.00784059	0.0085131	0.00801004	0.0085593	0.00773861	0.00613351	0.00892158	0.00746181	0.00878479	0.00788038	0.00715519	0.00707372	0.00899895	0.008136	0.00776214	0.00603215	0.00934252	0.00672188	0.00917953	0.0104441	0.00734354	0.00864029	0.0097542	0.00764043	0.0065403	0.00727936	0.00944443	0.0088718	0.00961992	0.00460546	0.0110436	0.00666129	0.00862122	0.00909996
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0.000346552	0.000130342	0.0	0.0001837	0.000182422	0.000716067	0.000195837	0.000177625	0.000419755	0.000368763	0.000608672	0.000828886	1.11309e-05	0.000262675	7.11379e-05	5.87712e-05	0.000362443	0.000551602	0.00058882	0.000218526	0.000622845	4.0462e-05	4.93247e-05	1.46093e-05	0.00055192	4.41809e-05	5.23045e-06	0.00044323	0.000353179	0.000236395	0.000212279	0.000333181	0.000471229	0.000538379	4.55673e-06	0.000647729	0.00028221	0.000250573	0.000172424	0.000277539	0.000160362	2.95954e-05	8.73e-05	0.000305873	0.000432954	3.91278e-05	0.00105662	0.000634497	5.28195e-05	1.05638e-05	3.13983e-05	0.0	2.20171e-05	0.000102087	0.0	3.4989e-05	3.84177e-05	7.13238e-05	0.0	0.0	0.000148414	0.000477663	0.000408195	0.000101049	3.81143e-05	7.44656e-06	7.33851e-05	3.58148e-05	0.000448734	5.90326e-05	0.0
KETOGLUCONMET-PWY: ketogluconate metabolism	0.000903031	0.000180001	1.81487e-05	0.00200709	0.000388578	0.00140762	0.000385706	0.000491083	0.000521173	0.000625001	0.00257088	0.000695353	7.41869e-06	0.000432731	0.000122584	1.15198e-05	0.000348375	0.00140819	0.00137369	0.000177672	0.000565045	6.9852e-05	0.000218798	0.000118541	9.70306e-05	2.86968e-06	2.11314e-05	0.000790529	0.00125851	0.000693739	0.000139361	0.000179939	0.00154729	0.000285821	3.99979e-06	0.00262562	0.000800529	0.000378713	0.000150484	0.000466087	0.000809654	0.000508204	0.000382432	0.00191828	0.000530944	4.3553e-05	0.00214189	0.000779048	7.20154e-05	3.02294e-05	3.17948e-05	6.48571e-06	3.63037e-05	0.000312966	1.57163e-05	0.000115109	3.39948e-05	9.52816e-05	2.3012e-05	8.20931e-06	0.00029429	0.000244764	0.000409877	0.000336399	5.2326e-05	4.9116e-05	5.62476e-05	0.000246989	0.000598978	2.99914e-05	0.0
LACTOSECAT-PWY: lactose and galactose degradation I	0.000145991	7.50152e-05	0.0	1.22516e-05	0.0	3.34572e-05	0.0	0.000132034	2.52011e-05	0.000304808	3.15074e-05	0.0	6.34295e-05	5.30458e-05	4.57284e-05	0.0	0.000200858	2.02134e-05	0.0	1.98179e-05	0.000131498	7.06476e-05	0.000278983	0.000298367	5.53741e-06	2.76138e-05	0.000425353	1.59727e-05	0.000110606	6.66696e-05	0.000451241	0.000321513	5.66158e-06	0.000788182	0.000439011	0.00292399	8.38919e-05	0.0023619	0.000127658	0.00133725	0.000919035	0.00073374	0.000457628	0.00181871	0.0015132	0.000677065	0.00302056	0.000210715	0.000102389	0.000133815	4.89948e-05	0.000344005	6.20165e-05	4.84311e-05	0.000100811	0.000589861	0.000301701	0.000121837	0.000133743	0.00016845	1.8035e-05	0.000188726	0.000958558	0.000167297	0.00010758	0.000124456	1.69663e-05	0.000214143	0.000155402	0.000126986	5.13041e-05
LIPA-CORESYN-PWY: lipid A-core biosynthesis (E. coli K-12)	0.0	1.63701e-05	0.0	0.0	0.000236084	0.000681561	0.0	4.92406e-05	1.94241e-05	0.0	0.000730642	5.96402e-05	1.42884e-06	8.72571e-06	4.48764e-06	1.78678e-05	0.000173098	4.19051e-06	0.0	7.01111e-05	0.000141711	1.19134e-05	2.52408e-06	0.0	1.951e-05	3.63054e-05	0.0	0.0	0.0	0.000221584	5.24346e-05	2.28564e-05	5.48621e-06	1.15151e-05	4.75932e-06	4.56153e-05	0.000135584	8.13291e-05	1.29965e-05	0.000328327	0.000124375	3.36046e-06	4.94021e-05	0.000394104	0.000423813	1.24958e-05	3.57738e-05	5.88915e-06	3.85003e-05	0.0	0.0	8.38108e-06	0.0	4.9505e-06	0.0	2.91323e-05	1.56815e-05	1.82642e-05	0.0	0.0	5.98417e-05	1.74577e-06	3.87265e-05	6.11171e-05	0.0	0.0	1.55217e-05	0.0	3.95934e-05	0.0	0.0
LIPASYN-PWY: phospholipases	0.0	0.00069506	0.0	0.0	0.000303358	0.00121804	0.0	0.0	0.0013772	0.000865609	0.00396171	0.00235431	4.79579e-05	0.000605607	0.000276084	0.0	0.0012106	0.000626524	0.000608901	0.000713035	0.00202961	0.000135187	0.000316377	5.3801e-05	0.0	0.0	0.0	0.0	0.0	0.000330661	0.000432398	0.0	0.00118886	0.000630626	0.0	0.00160099	0.000764946	0.00066621	0.000173457	0.000782588	0.0	0.00130653	0.00288915	0.00135397	0.00313804	6.64252e-05	0.00186721	0.00120664	0.000237527	0.0	0.000125102	0.0	0.0	0.000910614	3.49617e-05	0.000163252	7.40236e-05	4.81091e-05	4.19877e-05	0.0	0.00071911	0.000892863	0.00108124	0.0	0.000166787	0.0	0.000246714	0.0	0.00128888	4.89934e-05	0.0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0.0	6.25827e-05	0.0	0.0	0.000340786	0.00113351	0.0	0.000130605	8.12567e-05	0.0	0.00104101	0.000235714	5.31353e-06	3.7281e-05	1.81655e-05	5.17233e-05	0.000412134	1.86092e-05	0.0	0.000197741	0.000421386	3.67058e-05	1.05522e-05	0.0	7.81781e-05	6.60002e-05	0.0	0.0	0.0	0.000369974	0.000161119	8.70226e-05	2.30768e-05	4.81605e-05	8.53542e-06	0.000175788	0.00030094	0.000172149	4.00519e-05	0.000446867	0.000238889	1.32383e-05	0.000132158	0.000528765	0.000716168	3.39497e-05	0.000147814	2.60278e-05	7.78756e-05	0.0	0.0	0.0	0.0	2.08572e-05	0.0	5.47727e-05	3.73396e-05	6.05413e-05	0.0	0.0	0.000158894	7.75017e-06	0.000146296	0.000131615	0.0	0.0	5.23641e-05	0.0	0.000151181	0.0	0.0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.00211419	0.00126669	0.00013381	0.00251919	0.00106655	0.00375408	0.000796036	0.00123865	0.00228937	0.00124541	0.00400535	0.00290466	0.000105663	0.00120847	0.000534778	0.000282533	0.00139048	0.00269342	0.00296606	0.00119502	0.00258127	0.000155729	0.000430636	0.00031968	0.00168883	0.000440108	0.000333146	0.00221303	0.0022933	0.00118297	0.00107156	0.00105042	0.00230581	0.00178782	0.000169868	0.00453765	0.00167662	0.00251107	0.000599159	0.00284937	0.00128723	0.00237646	0.00367561	0.0035028	0.00411703	0.000229654	0.00515787	0.00331057	0.000520843	0.00014912	0.000319274	8.5918e-05	0.000291217	0.00103865	3.30458e-05	0.000595364	0.000443719	0.000335009	0.00015128	0.000395628	0.00117012	0.0015041	0.00219399	0.000668039	0.00040755	0.000117898	0.000400937	0.000365392	0.00177039	0.0001721	0.000109258
METH-ACETATE-PWY: methanogenesis from acetate	0.000125368	0.0	0.000117977	2.97471e-05	4.9766e-05	0.0	0.0	0.0	0.0	8.64085e-05	0.0	0.000200465	0.0	9.50754e-05	0.000328407	3.66287e-05	2.28469e-05	0.0	0.0	0.000170383	0.000112593	6.41669e-05	8.76549e-05	8.02469e-05	0.0	5.36863e-05	0.000113831	1.66359e-05	4.66594e-05	0.0	0.000587018	0.000196674	7.27466e-05	3.71421e-05	6.75301e-05	0.00056947	3.28314e-05	0.000521332	0.000324902	0.00167813	0.000495365	0.00083323	0.000126194	0.00069592	0.000696794	0.000876825	0.00039574	0.000685429	0.000143695	0.000347617	9.14609e-05	4.20406e-05	0.000141254	0.000400983	9.36087e-05	0.000236856	0.000293884	0.000400789	0.000510663	0.000160435	0.000131962	0.000141411	7.08778e-05	5.1402e-05	0.000176347	0.000130597	0.000245223	0.000161424	0.000272467	0.000117013	0.000197258
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0.000200438	0.000692356	2.09413e-05	0.000508718	0.000150745	0.000718628	0.000280574	0.000191089	0.000447676	0.000327093	0.000306169	0.000905384	7.32712e-05	0.000111835	0.000394702	0.000177447	0.000248793	0.000382716	0.000452032	0.000231189	0.000725216	0.000182147	0.000187987	3.12181e-05	0.000290147	6.16793e-05	0.000386143	0.000312073	0.000235117	0.000166617	0.000273604	0.000231673	0.000929842	0.000424087	0.000243504	0.0005731	0.000107417	0.000831943	0.000279363	0.000228439	6.45158e-05	0.00074411	0.000852046	0.000339389	0.000858219	0.000208526	0.000973409	0.000387231	6.80819e-05	1.20706e-05	0.00027527	1.73284e-05	2.4915e-05	0.000138861	2.69634e-05	6.30283e-05	9.81855e-05	3.80415e-05	0.000129104	7.73194e-06	0.000106829	0.000315802	0.000311694	5.11639e-05	0.000517496	9.71458e-06	5.16557e-05	3.32931e-05	0.000492308	4.60135e-05	2.7827e-05
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0.00202908	0.00116002	0.000119253	0.00233233	0.00103736	0.00355018	0.000713351	0.00119664	0.00213972	0.0011368	0.00400071	0.00294322	9.69363e-05	0.00111597	0.000477705	0.000275981	0.00132811	0.0025416	0.0028853	0.00107909	0.0025231	0.000136556	0.000383834	0.000289874	0.00160392	0.000399672	0.000295998	0.00214225	0.00217249	0.00117032	0.000958875	0.000950652	0.00219525	0.00165731	0.000150057	0.00431642	0.00153475	0.00232068	0.000539114	0.00260929	0.00116231	0.00217071	0.00360606	0.00322106	0.00394272	0.000202076	0.00503358	0.00308912	0.000459295	0.000131051	0.000284585	7.55288e-05	0.000259223	0.0009421	2.90236e-05	0.000531513	0.000391921	0.000298005	0.000132792	0.000352882	0.00107572	0.00141623	0.00201763	0.000630627	0.000362304	0.000103528	0.000357324	0.000323097	0.00162035	0.000151615	9.58889e-05
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0.000125322	0.000118416	1.14911e-05	0.000389375	8.71398e-05	0.000562248	0.000157478	0.0001432	0.00024118	0.000297854	0.000425388	0.000517459	1.25081e-05	0.000112669	0.000188528	2.96316e-05	0.000341437	0.000258618	0.000202585	0.000178352	0.000618557	9.14728e-05	4.22138e-05	3.11995e-05	0.000332708	3.73696e-05	0.000400461	0.00051228	0.000146448	0.00037627	0.000381497	0.000854997	0.00115916	0.000753556	6.51588e-06	0.000422805	0.000175157	0.00123879	0.000188316	0.000223482	0.000145017	0.000774944	0.000704507	0.000256436	0.00096724	8.36028e-05	0.00128595	0.000390184	4.56608e-05	1.81739e-05	2.5271e-05	3.62803e-06	3.21441e-05	0.00010043	3.76834e-05	3.19389e-05	5.02612e-05	0.000362071	0.0	0.0	0.000112551	0.00054293	0.000596438	2.21239e-05	3.5572e-05	3.00339e-05	3.11993e-05	5.18462e-05	0.000419089	9.46043e-05	0.0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0.00225765	0.00333295	0.00473791	0.00287573	0.00580391	0.00330199	0.00435374	0.00208104	0.0027558	0.00233452	0.00342928	0.00306139	0.00196938	0.00285035	0.00169978	0.00164326	0.0027215	0.00364764	0.00299784	0.0016738	0.00294304	0.000453703	0.00327665	0.000491069	0.00219031	0.00312862	0.00155489	0.00213264	0.00235777	0.00153065	0.000990333	0.00290778	0.00223952	0.0019171	0.00333349	0.00172808	0.00197472	0.00119595	0.00421143	0.00171517	0.00157877	0.00152943	0.00287754	0.00129899	0.00241002	0.0020295	0.00190434	0.00225985	0.00124822	0.00229377	0.00176626	0.00269455	0.00134608	0.00248248	0.00158794	0.00224601	0.00108079	0.00198239	0.00187479	0.00399424	0.00185317	0.00322197	0.0018295	0.00238047	0.00287521	0.00288087	0.00123283	0.00104216	0.00200059	0.00235378	0.00193677
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.0089698	0.00819072	0.0117598	0.00549597	0.00931947	0.00522749	0.00851571	0.00922637	0.00738256	0.00844548	0.00479333	0.00612409	0.0119274	0.00865145	0.00900863	0.0107802	0.00826118	0.00629597	0.00691969	0.00945845	0.00658654	0.0099569	0.0111092	0.0182208	0.00727007	0.0107474	0.0101774	0.00827166	0.00778798	0.00892292	0.00867652	0.00813326	0.00639432	0.0078421	0.00984038	0.00506964	0.00970848	0.00526834	0.00971782	0.00730732	0.00867429	0.00722127	0.00392907	0.00627825	0.00435722	0.00892203	0.00539296	0.00532386	0.0109991	0.0113165	0.00947681	0.0119017	0.0110025	0.0081312	0.0104075	0.0120602	0.0119644	0.010744	0.0118651	0.0108845	0.00876792	0.00801086	0.00748675	0.0100143	0.0105452	0.012247	0.0124958	0.012057	0.00724395	0.0120469	0.0103613
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.00583609	0.00689288	0.0028016	0.00860609	0.00475537	0.0079045	0.00584615	0.00405259	0.00558624	0.00491799	0.00677067	0.00525775	0.00205195	0.0054624	0.00430363	0.00312251	0.00453031	0.00589431	0.00548427	0.00528625	0.00571942	0.0084368	0.00287317	0.00268743	0.0052919	0.004445	0.00377862	0.00458703	0.00579302	0.00431745	0.00763045	0.00419937	0.00591801	0.00597314	0.00557217	0.00907493	0.00513437	0.0068549	0.00329293	0.00876791	0.00537628	0.00802035	0.0109433	0.00735144	0.00660246	0.0070052	0.00641784	0.00691171	0.00715778	0.00413107	0.00632211	0.00674518	0.0027574	0.00886855	0.0105969	0.00282802	0.00629139	0.00278996	0.00546992	0.00329566	0.00457773	0.0044159	0.00576625	0.00477479	0.00331579	0.00511297	0.00712606	0.00453758	0.00611369	0.00333736	0.00748711
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.00350381	0.00364214	0.00240644	0.0032902	0.00320149	0.00266163	0.00461575	0.00556797	0.00402757	0.00446422	0.00369972	0.0044611	0.00290846	0.00427521	0.00317198	0.000660513	0.00461549	0.00373543	0.00444403	0.00470891	0.00449388	0.00417802	0.00552287	0.0036352	0.00398084	0.00535358	0.00477576	0.00346218	0.00426443	0.00421317	0.00379857	0.00394	0.00407215	0.00540669	0.00431222	0.00383928	0.00297714	0.00645198	0.00477161	0.00614294	0.00576143	0.00420732	0.00290885	0.00536767	0.00401305	0.00554798	0.00472266	0.00410964	0.00510873	0.00417194	0.00513336	0.00761692	0.00419616	0.00473882	0.00831115	0.00553913	0.00732551	0.002822	0.00525595	0.00308618	0.00311106	0.00352149	0.00458812	0.00345009	0.00301271	0.00528534	0.00677002	0.00691007	0.00418872	0.00600621	0.00689534
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0.0	0.000244407	0.0	0.000980613	1.16827e-05	0.000113797	0.0	0.000196011	0.000511044	0.000489925	0.00172374	0.000805913	0.0	0.000169351	9.65531e-05	2.08832e-05	0.000515493	0.000168215	0.0	0.000308138	0.000695264	2.15931e-05	9.37092e-05	0.0	0.000622525	1.4196e-05	0.0	0.000445682	0.0	0.000150205	0.000227169	0.000168677	0.000319989	0.000560354	0.0	0.00112452	0.000412272	0.000234528	3.80156e-05	0.000278839	0.000490258	0.000660983	0.00182153	0.000515736	0.00154433	4.28403e-05	0.00144818	0.000598084	0.000116035	1.95057e-05	2.80498e-05	1.11441e-05	2.59069e-05	0.000176523	0.0	6.60499e-05	0.000129496	2.01532e-05	0.0	0.0	0.000177227	0.000277255	0.000535576	6.95437e-05	4.49707e-05	0.0	0.000153789	2.17106e-05	0.00058466	1.17944e-05	0.0
ORNDEG-PWY: superpathway of ornithine degradation	0.00111859	0.00127554	0.0	0.00218971	0.000493168	0.00236603	0.000482671	0.000445362	0.000979461	0.000857042	0.00345938	0.00138687	6.9263e-05	0.000833968	0.000322885	0.000223646	0.0010916	0.00139558	0.00131757	0.000898823	0.00171299	0.00016571	0.00030603	0.000295107	0.00136689	0.000180157	0.0	0.00126707	0.0010354	0.000729652	0.00054381	0.000546658	0.00108832	0.0010926	8.81075e-05	0.00244032	0.00102134	0.00380495	0.000283416	0.00103746	0.000763376	0.00174994	0.00348214	0.00160727	0.00391518	8.99404e-05	0.00342381	0.00199123	0.000240348	6.90911e-05	0.000163319	6.14713e-05	0.000104276	0.000648703	3.43135e-05	0.000316879	0.000158054	0.000150817	4.70819e-05	5.00925e-05	0.000613149	0.000841302	0.00115919	0.000207042	0.000205909	2.80065e-05	0.000401732	0.000117118	0.00115371	6.47058e-05	0.0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.00082709	0.000498394	2.44774e-05	0.00288977	0.000462777	0.00153749	0.000324556	0.000437502	0.00111079	0.00166037	0.00296768	0.00127945	7.75552e-05	0.00141223	0.000319689	0.000286358	0.00122989	0.00100871	0.000975137	0.00136183	0.00132515	0.000193048	0.00043072	0.000115523	0.00202891	0.000196558	1.3651e-05	0.00071511	0.000874083	0.00054103	0.000579772	0.000355524	0.00185532	0.00151879	2.08115e-05	0.00210649	0.00132352	0.00175566	0.000491915	0.00100304	0.00154653	0.00215592	0.00387578	0.0013887	0.00216538	0.000254467	0.00207806	0.00222428	0.000320704	6.11184e-05	0.000194913	9.87953e-05	0.000191485	0.000639052	4.24302e-05	0.000459349	0.000318217	5.51279e-05	0.000447726	0.000908687	0.00125727	0.00155814	0.00157387	0.000367067	0.000322338	0.000189898	0.000172471	0.000250051	0.00166534	3.01507e-05	1.38894e-05
P108-PWY: pyruvate fermentation to propanoate I	0.000208862	0.00060348	1.82118e-05	0.00131535	0.000121619	0.00029473	0.00110159	0.000505066	0.00160635	0.000707225	0.000446735	0.000282362	3.93744e-05	0.000663125	0.000578903	6.59468e-05	6.33058e-05	0.000865196	0.00045534	0.000215806	0.000721009	0.000282205	0.000234394	0.000137444	0.000671196	0.00011893	0.000395985	0.000411627	0.000650761	0.000113597	0.000459551	0.000676267	0.000546178	0.000682311	0.000129872	0.000561956	0.000330104	0.00186818	0.000380217	0.000856809	0.000254789	0.00137707	0.00187159	0.000634603	0.000584811	0.000167258	0.000517946	0.00109509	0.000160642	1.43089e-05	0.000175653	3.86034e-05	7.77677e-05	0.000683297	1.3953e-05	0.000136152	0.000187681	0.000550701	0.0	5.39191e-05	0.000292441	0.00059256	0.000773912	0.000161494	0.000171112	8.06256e-05	0.000150808	0.000113028	0.000840353	0.000120076	0.0
P122-PWY: heterolactic fermentation	0.000430552	0.00039201	2.04651e-05	0.000554085	0.000243764	0.00110433	0.000370774	7.44885e-05	0.000622736	0.000414357	0.00123715	0.00104984	0.0	0.000587348	0.000457133	4.94847e-05	0.000681343	0.000879925	0.000831404	0.000362823	0.00106711	0.000169401	0.000113112	0.000119275	0.000613591	6.6121e-05	0.000229285	0.000766233	0.000557832	0.000280623	0.000543421	0.00136123	0.00135765	0.000734489	0.0	0.000855272	0.000383616	0.000585009	0.00028	0.0003494	0.000282808	0.0011265	0.00177769	0.000681513	0.000737373	4.20653e-05	0.00150686	0.00109409	4.3585e-05	4.48545e-06	5.92484e-05	0.0	0.000140714	0.000267735	2.37688e-06	9.73146e-05	8.76308e-05	0.000665645	0.0	0.0	0.000216629	0.0006078	0.000597102	7.50115e-05	4.572e-05	3.22551e-05	9.3472e-05	4.00984e-05	0.000695122	0.000170133	0.0
P124-PWY: Bifidobacterium shunt	0.00034597	0.0	0.0	0.0	0.0	0.0	0.0	0.000136738	0.0	0.000621726	0.000105846	0.0	4.14825e-05	0.000370949	0.0	0.0	0.0	0.000128652	0.0	3.8015e-05	7.93589e-05	0.000771978	0.00035286	0.000377717	0.000439005	0.0	0.000141483	0.0	0.000103622	0.0	0.000279254	0.000597908	3.38719e-05	0.000804462	0.0	0.00265145	2.95174e-05	0.00022663	0.0	1.9726e-05	0.00287173	0.000959315	0.000334622	0.00116461	2.54812e-05	0.000735618	0.00058839	0.00134254	4.11773e-05	0.000128224	0.0	0.000319491	0.00024461	0.0	0.0	0.000621789	0.000238619	0.0	8.74605e-05	0.000175693	0.0	0.00011336	8.0842e-05	6.15392e-05	0.00011268	0.000246287	0.000163585	0.00119672	8.27926e-05	0.00014542	3.58675e-05
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0.0	0.0	1.00202e-05	0.0	0.0	0.0	5.24346e-05	0.0	9.83375e-06	0.0	6.4944e-05	0.0	0.0	1.14194e-05	0.0	0.0	0.0	2.21717e-05	0.0	8.39384e-06	3.51847e-05	9.66675e-06	6.52312e-06	0.0	2.97102e-05	0.0	0.000128977	0.0	0.0	2.44144e-05	0.000115853	0.000108295	2.31037e-05	0.000148491	2.42356e-05	5.93808e-05	2.2613e-05	0.000880939	4.25825e-05	0.00032016	6.51572e-05	3.19919e-05	6.29607e-05	0.000306737	0.000729851	0.000209189	2.27372e-05	4.23302e-05	0.0	0.0	0.0	0.0	0.0	5.35181e-05	2.61437e-05	0.0	4.74349e-06	0.0	0.0	8.59682e-06	0.0	5.70716e-05	0.000237706	1.82913e-05	0.0	0.0	0.0	0.0	1.70407e-05	3.49027e-05	5.02241e-06
P161-PWY: acetylene degradation (anaerobic)	0.000875314	0.00144144	0.000228768	0.00251353	0.000673842	0.00332307	0.0016251	0.0025307	0.00144558	0.000756442	0.00341817	0.00272453	0.000220343	0.00118981	0.000710946	0.00055364	0.00136552	0.000758892	0.0011153	0.00117404	0.0021352	0.000113151	0.000504581	0.000228826	0.00155191	0.000389979	0.00013108	0.000929727	0.00056589	0.00155864	0.000805883	0.000751314	0.00119757	0.00174939	0.00100895	0.00308266	0.000982133	0.00159856	0.000552532	0.00154765	0.0012752	0.00214716	0.0042452	0.00276216	0.0032154	0.00166545	0.00366535	0.00246909	0.000425434	0.000291278	0.000521594	0.000338122	0.000275437	0.00136437	0.000109908	0.000574274	0.000469459	0.000257948	0.000280731	0.000162635	0.00100112	0.00127478	0.00160588	0.000487004	0.000318819	0.000168213	0.000427369	0.000234263	0.002139	0.000290424	6.72086e-05
