EC	D605	D606	D607	D611	D612	D614	D616	D618	D619	D621	D624	D627	D629	D631	D632	D633	D636	D640	D641	D645	D646	D648	D678	D679	D680	D681	D683	D684	D685	D686	D687	C487	C488	C491	C492	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC12	NC13	NC14	B202	B204	B206	B207	B209	B211	B212	B223	B224	B226	B228	B230	B231	B232	B235	B236	B237	B238	B319	B320	B321	B322	B323
Cyclopropane-fatty-acyl-phospholipid synthase (2.1.1.79)	9.62994e-05	9.01424e-05	0	0.000715017	5.68523e-05	0.00037854	5.94207e-05	4.39806e-05	0.00021048	0.00011886	0.00041705	0.000286187	1.07426e-05	8.96918e-05	3.50574e-05	2.17512e-05	0.000117277	0.000228102	0.000195323	8.50383e-05	0.000209006	2.18083e-05	2.04291e-05	1.3069e-05	0.000349997	2.13397e-05	9.55483e-06	7.9643e-05	9.60552e-05	7.04778e-05	7.29771e-05	3.9668e-05	0.00029091	0.000331272	6.20604e-05	0.000389098	0.000136318	0.000325861	6.37282e-05	0.000282712	0.000186227	0.000546263	0.00128836	0.000268811	0.000382028	0.000103734	0.0004269	0.000417018	6.56394e-05	5.59695e-06	0.000101163	4.06785e-06	1.34722e-05	6.8253e-05	0.000269055	1.33035e-05	3.3699e-05	1.81147e-05	2.18299e-05	4.81414e-06	5.50149e-05	0.000183444	0.00014892	3.07837e-05	2.16287e-05	4.79807e-06	2.93897e-05	4.58268e-05	0.000169397	1.6096e-05	3.63063e-05
Protein-glutamate O-methyltransferase (2.1.1.80)	0.000160096	3.47595e-05	2.73156e-05	8.10158e-05	8.90074e-05	0.000446389	6.86649e-05	5.26915e-05	0.000134921	8.39658e-05	0.00029204	0.000314119	1.32625e-05	0.000118952	3.13937e-05	3.40494e-05	9.57146e-05	0.000169588	0.000174171	0.000278044	0.000190478	0.000541069	7.18441e-05	4.47561e-05	4.85081e-05	0.000134556	9.47542e-05	6.62164e-05	0.000152052	7.17076e-05	0.00041035	6.35397e-05	0.00030265	0.000175675	3.78037e-05	0.000313727	6.65003e-05	3.81215e-05	0.000133189	0.000178655	0.000163239	7.37039e-05	3.83084e-05	0.000157433	0.000267334	0.000178713	0.000306628	0.00021973	0.000281653	0.00013616	0.000207195	7.55542e-05	6.69903e-05	0.000437243	0.000144199	3.32633e-05	6.64483e-05	2.51261e-05	0.000105674	6.14096e-05	0.000234317	8.5455e-05	0.000133865	0.00012394	8.44369e-05	0.000219872	1.78777e-05	8.89062e-05	0.000207403	8.77785e-05	0.00033471
Glycine hydroxymethyltransferase (2.1.2.1)	0.001788	0.00152267	0.00165694	0.00111751	0.00119856	0.00111833	0.00132182	0.00150488	0.00119781	0.00161089	0.0010583	0.00145979	0.00164468	0.00140972	0.0013336	0.00138551	0.00123953	0.00102979	0.00118756	0.00189118	0.00137138	0.00163116	0.00201009	0.00173497	0.00125684	0.00199664	0.00151828	0.00154805	0.00136882	0.00144837	0.00159331	0.00153344	0.00166368	0.00182512	0.0014962	0.00128164	0.00181603	0.00181222	0.00147697	0.00224833	0.00176999	0.00200036	0.0014736	0.00166351	0.00137857	0.00152531	0.00159088	0.00139489	0.00193963	0.00192597	0.00178387	0.00224077	0.00173012	0.00154201	0.00256544	0.00213768	0.00222615	0.00161067	0.0020916	0.00167718	0.00146373	0.00136001	0.00176424	0.00167933	0.00171478	0.00186879	0.0021561	0.00240518	0.00171662	0.00177887	0.00190716
Aminomethyltransferase (2.1.2.10)	0.000905297	0.00138923	0.0013787	0.000934042	0.00109572	0.001276	0.00124788	0.00110195	0.00122743	0.00110211	0.00120112	0.00132216	0.00143659	0.00102726	0.000957834	0.00128199	0.0012094	0.00100208	0.000972475	0.000573921	0.00131153	0.000346322	0.00124799	0.00197734	0.00115167	0.00112954	0.00112526	0.000954827	0.00117743	0.00126404	0.000569358	0.000976153	0.000488575	0.000838209	0.00132299	0.000860106	0.00144321	0.000453101	0.00109659	0.00114517	0.000880432	0.0004138	0.000623754	0.000598914	0.000948929	0.00074286	0.000694103	0.000704387	0.000261198	0.000846126	0.000984796	0.00137152	0.000950073	0.00102017	0.00150428	0.00109616	0.000602237	0.000902043	0.000771812	0.000964776	0.000981811	0.00108859	0.000770702	0.000961667	0.00112876	0.000954865	0.00179101	0.000839489	0.00082475	0.00102151	0.000811775
3-methyl-2-oxobutanoate hydroxymethyltransferase (2.1.2.11)	0.00145413	0.00143493	0.00152741	0.000904164	0.00110657	0.000937757	0.0011727	0.00111398	0.0012213	0.00113195	0.000991706	0.00117662	0.00156041	0.00118259	0.00106768	0.00130598	0.00117959	0.000917185	0.000915779	0.000889713	0.00107953	0.000691103	0.001323	0.0020845	0.00119612	0.00124916	0.00130653	0.00155032	0.00122905	0.00124198	0.000855176	0.000993577	0.00116353	0.00111356	0.00119717	0.000916981	0.00169512	0.000630072	0.00135304	0.000953059	0.000964367	0.000603703	0.000610375	0.000661918	0.000833549	0.000883575	0.000562433	0.000593017	0.000743075	0.00103798	0.00126625	0.00163202	0.00113657	0.00103183	0.00190151	0.00100978	0.00102599	0.000974379	0.00116546	0.00102984	0.00101701	0.00120321	0.000858713	0.00140903	0.00112323	0.00115002	0.00213116	0.00132587	0.00102645	0.00108656	0.00104303
UDP-4-amino-4-deoxy-L-arabinose formyltransferase (2.1.2.13)	3.73494e-05	1.8949e-05	0	6.09139e-05	2.24312e-05	0.000151833	1.48891e-05	1.5963e-05	5.64716e-05	3.36128e-05	0.000107435	0.000163409	6.63479e-07	2.23017e-05	5.61326e-06	4.39851e-06	3.68992e-05	7.75858e-05	7.24122e-05	2.56341e-05	0.000115429	1.07862e-06	6.36253e-06	4.27375e-06	3.75404e-05	5.55921e-06	0	4.83412e-05	3.60829e-05	3.2065e-05	1.68629e-05	2.2987e-05	0.000147398	8.23093e-05	5.4107e-07	0.000150574	2.97995e-05	5.27754e-05	2.39629e-05	5.60204e-05	2.40962e-05	0.000128548	0.00018576	8.0242e-05	9.82909e-05	3.95523e-06	0.00020822	0.000107205	7.72839e-06	3.48691e-07	3.46187e-06	2.41923e-07	2.47237e-06	2.31579e-05	0	4.92654e-06	3.55773e-06	1.35677e-06	1.58543e-06	0	1.9189e-05	5.46727e-05	5.00834e-05	1.37557e-05	4.28292e-06	0	7.39182e-06	2.1526e-06	5.01815e-05	2.89643e-06	0
Phosphoribosylglycinamide formyltransferase (2.1.2.2)	0.000947975	0.00145646	0.00170039	0.0013563	0.001599	0.00125363	0.00166354	0.00164952	0.00147941	0.00155269	0.00127235	0.00160295	0.00198559	0.00170139	0.00161524	0.00184404	0.00145505	0.00138432	0.00176598	0.00180639	0.00105868	0.0018262	0.00185913	0.000950283	0.00139486	0.00192135	0.00186814	0.00127353	0.00170954	0.00154315	0.00187121	0.00170518	0.00119704	0.00151292	0.00155258	0.00129906	0.0011686	0.00180264	0.00175937	0.00169236	0.00156017	0.0015652	0.000810491	0.00154824	0.00142232	0.00162723	0.00146607	0.00125862	0.00211451	0.00209092	0.00185924	0.0015971	0.0021177	0.00179741	0.00179487	0.00197947	0.0022258	0.00194003	0.0019915	0.00185097	0.0016369	0.0015731	0.00181177	0.00177362	0.00192807	0.00173291	0.00120258	0.00154316	0.00163921	0.00181647	0.00190289
Phosphoribosylaminoimidazolecarboxamide formyltransferase (2.1.2.3)	0.00144694	0.00213782	0.00196401	0.001625	0.00193126	0.00139581	0.0025635	0.00239625	0.00231909	0.0019739	0.00230322	0.0019538	0.00264178	0.00236035	0.00236077	0.00252841	0.00264163	0.00231577	0.00207698	0.001231	0.00147859	0.00171686	0.00168307	0.000777515	0.00244615	0.00220559	0.00262726	0.00181415	0.0020901	0.00213981	0.00151203	0.00217226	0.000927062	0.00132272	0.00219876	0.00120307	0.00162043	0.0015821	0.00191035	0.00083441	0.00162398	0.000721387	0.000636383	0.00142267	0.00176991	0.00169769	0.00133698	0.00150148	0.0016777	0.00167478	0.00197908	0.00123684	0.00222398	0.00138671	0.00119662	0.00168463	0.00128594	0.00233747	0.00129777	0.00169762	0.00212403	0.00222198	0.00176646	0.00216742	0.00190544	0.001297	0.00102651	0.00110508	0.00170203	0.00166305	0.00164963
Glutamate formimidoyltransferase (2.1.2.5)	0.000273719	0.000283956	0.000796885	0.00024568	0.000465311	2.7935e-05	0.00056449	0.00084461	0.000346695	0.000358754	0.000218341	0.000515532	0.000966893	0.000686577	0.000870316	0.00110463	0.00121449	0.000648936	0.000722402	0.000162861	0.000154827	0.000319352	0.000722473	1.77731e-05	0.00119764	0.000634207	0.0011428	0.000666456	0.000565745	0.000752682	0.000417931	0.000652419	0.000123495	0.000299775	0.000654637	1.67396e-05	0.000331619	0.000361325	0.000457063	3.08489e-05	0.000327324	1.30384e-05	6.13446e-06	4.22218e-05	0.000177343	0.000280081	1.90934e-05	0.000149254	0.000189991	0.000458773	0.000604199	0.000205931	0.000502764	0.000172238	0.000293878	0.000224572	0.000209669	0.000670223	0.000151569	0.000367948	0.000841578	0.000751991	0.000249286	0.000801212	0.000521828	0.000331396	0.000338013	0.000210831	0.000253796	0.000240995	0.000406982
Methionyl-tRNA formyltransferase (2.1.2.9)	0.00207254	0.00130694	0.00180754	0.0010536	0.00139928	0.00079494	0.00137954	0.0016104	0.00145691	0.00175607	0.00128134	0.00131184	0.00178846	0.00155879	0.00159332	0.0014333	0.00133243	0.00123412	0.00126009	0.00192756	0.0014879	0.00171396	0.00205951	0.00233305	0.00130868	0.00185938	0.00176193	0.00173548	0.00147491	0.00156948	0.00171506	0.00162876	0.00206859	0.00176267	0.00150521	0.00115324	0.00197962	0.00180127	0.00163403	0.00152357	0.00183497	0.0015479	0.000911019	0.00152747	0.00147173	0.00153168	0.00156043	0.00125938	0.00201925	0.0020661	0.00166428	0.00188818	0.0017772	0.00148467	0.00166207	0.00200612	0.00236865	0.00186434	0.00221895	0.00187561	0.0016121	0.00145144	0.00184303	0.00191869	0.00176789	0.00198691	0.00200297	0.00253477	0.00164172	0.00207146	0.00184381
Methylmalonyl-CoA carboxytransferase (2.1.3.1)	2.84943e-05	0.000291602	6.92629e-05	0.00044202	1.22847e-05	4.06214e-05	0.000462414	0.000133483	0.000528709	0.000174135	3.98556e-06	1.28943e-05	3.77201e-05	0.000160379	0.000165585	7.52312e-06	0	0.000208114	6.17676e-05	3.1773e-05	0.000119414	0.000157367	0.000104506	3.749e-05	0.000160019	2.41829e-05	0.000169359	6.52807e-05	0.00015568	1.24935e-05	7.5302e-05	9.58177e-05	7.6978e-05	0.000128028	0.000176889	8.4971e-05	7.54413e-05	0.000336602	8.34029e-05	0.000271893	0.000191013	0.00041516	0.000807837	0.000118365	0.000149208	0.000379433	8.26412e-05	0.00025354	4.01082e-05	5.42372e-05	7.15963e-05	0.000130666	1.43193e-05	0.000215482	1.59815e-05	0.000114568	0.000272356	7.41718e-05	0.000112573	9.99802e-05	5.43144e-05	0.00010478	0.000168325	3.78061e-05	0.00011546	9.96063e-05	3.49828e-05	0.000118763	0.000223874	1.58033e-05	0.000171417
Acetyl-CoA carboxytransferase (2.1.3.15)	0.000717124	0.000509387	0.00045926	0.000435819	0.000497579	0.000345723	0.000627419	0.000857712	0.000201654	0.00128088	0.000628974	0.000560643	0.000400158	0.000851956	0.0010087	0.000348179	0.000407926	0.000710955	0.000823582	0.00209324	0.000962204	0.00285459	0.000821132	0.000354319	0.000249206	0.00112122	0.00103777	0.000362077	0.000670262	0.000601319	0.00229586	0.00109617	0.00141937	0.00104779	0.00061001	0.00111249	0.000212921	0.00185316	0.000744391	0.00127732	0.001083	0.0020547	0.000919852	0.00168808	0.00114651	0.00125742	0.000833919	0.00113316	0.0025705	0.00197711	0.0014035	0.00110564	0.0017301	0.00147583	0.000909735	0.00164343	0.00245273	0.00123377	0.0023426	0.00147474	0.00130323	0.000517563	0.00211819	0.000914455	0.00132928	0.0020194	0.000570624	0.00112352	0.00163193	0.00193073	0.00197933
Aspartate carbamoyltransferase (2.1.3.2)	0.00183076	0.00134061	0.00169912	0.00110151	0.00131312	0.0012334	0.00134676	0.00143129	0.00110667	0.00192488	0.000904918	0.00135292	0.00162793	0.00151605	0.00137158	0.00137833	0.00119095	0.00129986	0.00115413	0.00279214	0.00134471	0.00268065	0.0020017	0.0019041	0.00136377	0.00189066	0.00182934	0.00154729	0.0014235	0.00137071	0.00235506	0.00157755	0.00211913	0.00195042	0.00153153	0.00115053	0.00177903	0.00191218	0.00175748	0.0014238	0.0019914	0.00153334	0.000924435	0.00159057	0.00117071	0.00164879	0.00128664	0.00123196	0.00263076	0.00236349	0.00195322	0.002211	0.00209564	0.00182369	0.00188908	0.00269518	0.0027403	0.00163715	0.00258191	0.00213496	0.00178674	0.00152856	0.00208904	0.00169655	0.00204359	0.00225988	0.00187784	0.00230942	0.00188276	0.00231466	0.00230494
Ornithine carbamoyltransferase (2.1.3.3)	0.000851234	0.000422683	0.000480247	0.000694584	0.000622901	0.000514913	0.000524481	0.000560403	0.000297555	0.00185038	0.000755413	0.0010417	0.0004494	0.000987938	0.000833207	0.000570198	0.000316548	0.000713627	0.000651077	0.00215701	0.00123148	0.00209083	0.0013461	0.000418286	0.000325819	0.00112188	0.00101109	0.000590803	0.000811812	0.000334886	0.00162207	0.00117016	0.00184352	0.0015227	0.000601782	0.00132088	0.000688607	0.00170881	0.000886011	0.00191367	0.00163062	0.00329611	0.00127123	0.00204433	0.00101186	0.00101383	0.00196761	0.0014777	0.00311274	0.0017659	0.00154445	0.00174556	0.00175208	0.00120096	0.00192394	0.00196346	0.00278728	0.00161688	0.00252215	0.00163348	0.0010675	0.000617814	0.0021981	0.00100597	0.00139357	0.00136898	0.000964078	0.00194459	0.00174093	0.00204227	0.00192995
N-acetylornithine carbamoyltransferase (2.1.3.9)	0.00197891	0.00119605	0.00140603	0.000744955	0.0011884	0.000504263	0.00118546	0.00113855	0.00125762	0.000873097	0.00034423	0.000720387	0.00139014	0.000970124	0.00111429	0.00154174	0.00134788	0.000871568	0.000882395	0.000523714	0.000927719	0.000420405	0.000921096	0.00218325	0.00119863	0.00100335	0.00133465	0.0018995	0.00089138	0.00112737	0.000424125	0.000996897	0.00161474	0.00074558	0.0011787	1.96182e-05	0.00164913	0.000272138	0.00119694	3.05586e-05	0.000442137	1.61275e-05	8.41686e-06	6.42533e-05	0.000265451	0.000565471	2.22377e-05	0.000391755	0.000314181	0.000736404	0.000825029	0.000925005	0.00118963	0.000541725	0.00050169	0.000517652	0.000285242	0.00108161	0.000465468	0.000868129	0.00104886	0.00117975	0.000417405	0.00171724	0.00106634	0.00102064	0.00142376	0.00135834	0.000497068	0.00087089	0.000654577
Molybdopterin molybdotransferase (2.10.1.1)	0.000122485	0.000101688	2.35736e-06	0.000392041	5.79301e-05	0.000342287	8.80088e-05	3.17776e-05	0.000140968	0.000185035	0.000486844	0.000381232	2.89115e-06	0.000101316	3.27325e-05	1.67461e-05	0.000115952	0.000226784	0.000186047	9.8531e-05	0.000239264	1.47312e-05	2.61797e-05	1.86026e-05	0.000246865	2.04283e-05	1.59094e-05	0.000127984	0.000131347	8.10639e-05	6.17228e-05	0.000126596	0.000316028	0.000154361	2.01824e-05	0.00051019	0.000104265	0.00018316	3.18291e-05	0.000155701	0.000149034	0.000341559	0.000702549	0.000263182	0.000463681	2.82097e-05	0.000445857	0.000437851	2.18043e-05	2.96616e-05	2.38177e-05	6.8188e-06	1.0267e-05	0.000131301	1.5145e-05	3.88058e-05	4.59369e-05	9.16498e-05	2.04413e-05	6.17781e-06	9.54341e-05	0.000104477	0.000194982	1.96813e-05	2.05312e-05	8.75886e-06	3.62634e-05	4.04421e-05	0.000187715	1.2224e-05	5.576e-06
Transketolase (2.2.1.1)	0.00110435	0.00120249	0.00031661	0.00185317	0.000632896	0.00219702	0.000962072	0.000569567	0.000944493	0.00095122	0.00150827	0.00112818	0.000201464	0.000930807	0.000608451	0.000288457	0.000660144	0.00123487	0.00106929	0.000937165	0.00138101	0.00140067	0.000341357	0.000293102	0.00080482	0.000630703	0.000490648	0.000742527	0.00104159	0.000626964	0.00138388	0.000687664	0.00129303	0.00132276	0.00078025	0.00230974	0.00093216	0.0014069	0.00045218	0.00190946	0.0010155	0.00172341	0.00291403	0.0015197	0.00159656	0.00120494	0.00145858	0.00180704	0.00117295	0.000625927	0.00111837	0.00119165	0.000351756	0.00181202	0.0026963	0.000361411	0.000983113	0.0003455	0.000823675	0.000443902	0.000683521	0.000719231	0.00120136	0.000797264	0.000456646	0.000749427	0.00124156	0.00072189	0.00128337	0.000491276	0.0012659
Transaldolase (2.2.1.2)	0.000885351	0.00108004	0.000484398	0.00165602	0.000606933	0.00143375	0.00130657	0.00106162	0.0012036	0.000976384	0.00140119	0.00134284	0.000910307	0.00123003	0.00109885	0.00123684	0.00122418	0.00136129	0.00131523	0.000659415	0.00102889	0.000963957	0.000909578	0.000259604	0.00148388	0.000888578	0.000989344	0.000992705	0.00134416	0.00117673	0.000862056	0.000986065	0.000954354	0.00107594	0.00112998	0.00219152	0.000922118	0.00181738	0.000637539	0.00178278	0.00113986	0.00211636	0.00215698	0.00200678	0.00160345	0.00102096	0.00178154	0.00166328	0.000731477	0.000557179	0.000934594	0.000878554	0.000677053	0.000805228	0.00117927	0.000657563	0.000923143	0.000668501	0.000490274	0.000573092	0.00104676	0.00102525	0.000934032	0.000807866	0.000645593	0.000728274	0.000914993	0.000614888	0.00110797	0.00039467	0.000891685
Acetolactate synthase (2.2.1.6)	0.00383975	0.00342733	0.00226871	0.00499838	0.00256828	0.00529015	0.0026774	0.00238384	0.00352919	0.00326355	0.00520032	0.00473256	0.00193619	0.00317018	0.00295146	0.00219743	0.00237712	0.00333926	0.00334999	0.00405825	0.00451759	0.00328234	0.00297381	0.00417173	0.00300703	0.00259572	0.00272056	0.00353278	0.00334547	0.00302952	0.00403398	0.00290009	0.00478179	0.00420995	0.00233355	0.00531121	0.0036871	0.00383034	0.00297724	0.00485416	0.00322675	0.00525363	0.00749054	0.00474993	0.00516034	0.00323461	0.00453305	0.0050492	0.00354149	0.00273161	0.00285986	0.00324157	0.00286994	0.00421796	0.00296325	0.00252211	0.00365529	0.00279369	0.0028809	0.00243638	0.00284343	0.00289761	0.0036392	0.00289694	0.00242953	0.00302355	0.00337547	0.00306632	0.00397425	0.00296227	0.00325298
1-deoxy-D-xylulose-5-phosphate synthase (2.2.1.7)	0.00409088	0.00247359	0.00337787	0.00215482	0.00324675	0.00162585	0.00229915	0.00265799	0.00245442	0.00282903	0.00196536	0.00214896	0.00307009	0.00274507	0.0027771	0.00264909	0.00240285	0.00234174	0.00235781	0.00289958	0.00222797	0.0039447	0.0031099	0.00311516	0.00237884	0.00311517	0.00286505	0.00346784	0.00253693	0.00244357	0.00247528	0.00275186	0.00333952	0.00282728	0.00289703	0.00270648	0.00311568	0.00235608	0.00326965	0.00270957	0.00304246	0.00245278	0.001662	0.00229478	0.00181568	0.00290365	0.00225427	0.00225133	0.00352959	0.00323966	0.00296517	0.00280063	0.00348738	0.00262687	0.00244792	0.00343103	0.00342909	0.00337343	0.00349003	0.00349134	0.00294106	0.00278687	0.00293245	0.00331658	0.00311959	0.00321964	0.00252406	0.00375633	0.00307025	0.00329311	0.00326879
synthase (2.2.1.9)	0.00176112	0.00108725	0.00127417	0.00104954	0.00049358	0.00112	0.00110087	0.00102962	0.00116368	0.000760598	0.000668054	0.0011122	0.00128048	0.000938624	0.00114511	0.00117552	0.00122626	0.00108463	0.00109741	0.000524284	0.001086	0.000389377	0.000741245	0.00193008	0.0013607	0.000711493	0.00094502	0.00131917	0.000962314	0.00121279	0.00052075	0.000859837	0.000985704	0.000688814	0.00102566	0.000420303	0.00153118	0.000279395	0.000698222	0.000206312	0.00049116	0.000391279	0.000583856	0.000293475	0.000600981	0.000337787	0.000468871	0.000776482	0.000217917	0.000587252	0.000603732	0.000794309	0.00103983	0.000590904	0.000438236	0.000504838	0.000137095	0.00094289	0.000361866	0.000679087	0.000909816	0.00109197	0.000553431	0.00107633	0.000692943	0.000647836	0.0012842	0.000770518	0.000638032	0.000765392	0.000437495
Amino-acid N-acetyltransferase (2.3.1.1)	0.000685251	0.000324246	0.000311863	0.000510726	0.000380813	0.000776915	0.000387554	0.000425004	0.000281801	0.000992048	0.000778069	0.000545145	0.000194635	0.000688272	0.000625365	0.000282955	0.000271455	0.000688962	0.000515674	0.00153847	0.000769364	0.00139321	0.000957592	0.000245413	0.000193802	0.000825611	0.000551161	0.000425335	0.000620452	0.000282445	0.0012211	0.000668718	0.00100919	0.000976191	0.000373659	0.00132442	0.000515889	0.00104357	0.000632739	0.00166628	0.00130163	0.00185359	0.000932679	0.00150043	0.00100186	0.000892332	0.00130898	0.00119562	0.00204474	0.00140668	0.00119329	0.00140857	0.00109743	0.00116665	0.00201383	0.00111663	0.00205348	0.000970141	0.00161766	0.0010531	0.00073931	0.000421955	0.00135403	0.00071857	0.000889052	0.00118998	0.000895645	0.00118454	0.0011945	0.00127588	0.00156279
N(6)-hydroxylysine O-acetyltransferase (2.3.1.102)	0.000132787	6.20232e-06	0	4.04134e-05	6.98919e-05	0.000383935	5.78426e-05	2.08303e-06	7.2833e-05	3.62392e-05	0.00056676	0.000480458	1.61456e-06	1.61159e-05	1.59189e-06	5.92135e-06	9.61132e-05	0.000215363	0.000185541	9.37199e-06	3.0218e-05	0	1.18057e-06	0	0	1.67989e-06	1.14043e-06	6.31286e-05	0.000129533	0	8.77784e-07	6.9824e-06	0	1.4372e-06	1.24398e-06	5.18021e-05	7.73658e-05	0	2.85494e-06	5.6463e-05	0.000102844	2.2677e-05	5.73248e-06	0.000322323	0	1.01145e-06	2.08364e-05	8.4973e-05	1.49169e-05	5.5005e-07	5.53401e-06	0	3.52064e-06	8.87508e-07	0	4.11323e-06	8.88411e-07	4.67916e-06	0	0	0	4.98476e-06	2.53984e-05	4.56335e-05	1.25265e-06	0	7.22243e-06	2.40599e-06	2.07103e-06	0	0
Arginine N-succinyltransferase (2.3.1.109)	8.97157e-05	6.97825e-05	1.82795e-06	0.000406274	5.1456e-05	0.000300145	3.0521e-05	3.14874e-05	0.00010542	9.43909e-05	0.000320882	0.000111405	3.51759e-06	5.64482e-05	1.57846e-05	1.98921e-05	6.96362e-05	0.000173038	0.000127239	6.73648e-05	0.000183482	6.03123e-06	2.51862e-05	1.366e-05	0.000154411	1.65762e-05	0	5.66259e-05	0.000100311	4.63718e-05	3.78504e-05	3.63746e-05	0.000245653	0.000181057	4.78897e-06	0.000295648	9.58172e-05	0.000132721	3.28004e-05	0.000113685	6.54496e-05	0.000355612	0.000669008	0.000189966	0.000270975	1.59789e-05	0.000316482	0.000293267	1.03261e-05	5.44241e-06	6.71438e-06	2.07047e-06	4.45429e-06	4.62887e-05	3.01075e-06	1.20052e-05	1.20512e-05	6.20795e-06	4.78617e-06	1.00955e-05	4.60618e-05	0.000104071	0.000123122	2.38224e-05	7.47658e-06	7.24373e-07	1.16781e-05	1.28834e-05	0.000105876	5.37424e-06	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (2.3.1.117)	0.000145893	5.27225e-05	7.85674e-06	0.000337022	8.03653e-05	0.000381201	7.01343e-05	6.92109e-05	0.000134783	0.000142925	0.000379797	0.00040515	3.42197e-05	0.000100428	3.74928e-05	1.18775e-05	0.000150587	0.000231445	0.000267489	8.12482e-05	0.000242334	7.52663e-05	5.11681e-05	1.79321e-05	0.000228245	3.81769e-05	2.42203e-05	0.000135244	0.00016882	8.98989e-05	8.92844e-05	0.000134677	0.000265781	0.000246791	2.09869e-05	0.000598813	0.000124737	0.000148815	5.88633e-05	0.000203226	0.000432798	0.00033832	0.000670973	0.000442221	0.000323564	8.04693e-05	0.000506426	0.000481388	3.56832e-05	5.10953e-05	2.30071e-05	1.59161e-05	3.77236e-05	7.28007e-05	4.60782e-06	9.15734e-05	5.91854e-05	5.543e-05	6.54695e-05	9.21294e-06	0.00010937	0.000109187	0.000200545	6.69076e-05	2.19576e-05	6.75104e-05	3.49778e-05	0.000155807	0.000204439	7.37211e-05	2.58955e-05
N-hydroxyarylamine O-acetyltransferase (2.3.1.118)	0.000122667	0.00010574	5.15002e-06	0.000202176	6.28118e-05	0.000401843	3.6253e-05	6.04829e-05	0.000170075	4.00725e-05	0.000459677	0.000174972	2.57771e-05	7.47847e-05	1.93777e-05	4.84048e-05	0.000153525	0.000179855	0.000284774	5.44756e-05	0.000246116	1.00601e-05	6.36931e-05	1.92863e-05	0.000130922	1.44448e-05	0	9.52585e-05	0.000132755	6.00578e-05	3.07338e-05	4.77358e-05	0.000192307	0.000126291	5.53697e-07	0.000429824	0.000119213	0.000139725	2.4476e-05	0.00014289	0.000112161	0.000242579	0.000404804	0.000270719	0.000274151	2.28831e-05	0.00036769	0.000325757	4.40044e-06	5.02258e-06	1.87679e-05	1.10647e-06	3.55813e-06	6.57863e-05	4.26357e-06	2.96395e-05	2.12121e-05	1.4509e-05	2.02534e-06	1.94725e-05	0.000125816	9.28579e-05	0.000122199	3.04981e-05	1.20694e-05	0	1.08391e-05	1.29558e-05	0.000167689	2.01815e-06	3.32206e-06
Dihydrolipoyllysine-residue acetyltransferase (2.3.1.12)	8.50236e-05	4.8739e-05	2.3649e-06	0.000472575	4.10628e-05	0.000332577	4.93745e-05	4.58287e-05	0.000139143	0.000182263	0.000328992	0.000350941	2.73741e-06	6.93256e-05	4.88558e-05	1.60852e-05	0.000119369	0.000166214	0.000161019	6.95684e-05	0.000279263	5.80515e-05	2.40078e-05	5.75643e-06	0.000275122	2.12111e-05	3.39616e-05	7.71792e-05	0.000106005	6.73092e-05	8.28151e-05	0.000165183	0.000484835	0.00022631	2.90382e-06	0.000330177	0.000100867	0.000362035	4.51375e-05	0.000130187	7.26429e-05	0.000454196	0.0010527	0.000326453	0.00035129	6.67076e-05	0.000386322	0.000459724	1.37833e-05	4.80391e-07	7.29522e-06	3.42765e-06	2.89108e-05	8.31358e-05	5.30701e-06	1.31935e-05	3.35405e-05	4.73048e-05	9.1839e-06	1.24984e-05	8.81031e-05	0.000129048	0.000228335	2.71075e-05	6.90868e-06	7.92593e-06	3.3093e-05	7.35001e-05	0.000147373	1.4924e-05	3.81015e-06
Transferred entry 2.3.1.267 (2.3.1.128)	2.30923e-05	1.6129e-05	0	6.27837e-06	3.43155e-06	1.12111e-05	5.09462e-06	1.57288e-05	1.18629e-05	2.47609e-05	1.02611e-05	4.20133e-06	1.14367e-05	1.77109e-05	3.52761e-05	4.43918e-06	2.96581e-05	3.3234e-05	2.09921e-05	1.06441e-05	3.97219e-05	0.000272648	0.000133249	7.64168e-06	1.08403e-05	1.14825e-05	2.46517e-05	3.48937e-05	1.1539e-05	5.07249e-06	3.55018e-05	4.92489e-05	1.99847e-06	0.000115152	6.93627e-06	0.000189565	2.57174e-06	0.000525268	1.47398e-05	0.000165792	0.000351754	0.000253735	4.42572e-05	0.0002378	0.000322058	0.000117359	8.75348e-05	0.000299842	0.000114503	4.41349e-05	8.30952e-06	0.000211385	2.60898e-05	1.88338e-05	0.0003999	5.9172e-05	0.000231776	1.49431e-05	3.10632e-05	2.57414e-05	3.28448e-05	2.34299e-05	0.000155685	1.46946e-05	1.83021e-05	0.000111497	2.71417e-05	0.000278251	0.000208669	1.30181e-05	0.000296218
