	A007	A008	A011	A016	A020	A024	A025	A033	A035	A036	A040	A042	A045	A052	A056	A060	A063	A002	A004	A006	A012	A014	A015	A018	A022	A026	A028	A030	A031	A032	A041	A044	A047	A050	A051	A057	A061	A062
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0.000866266	0.000259498	0.00101573	0.000776399	0.000991266	0.0	0.0	0.0	0.000178734	0.00147085	0.00245283	0.000150949	0.000344657	0.000276097	0.000392691	0.000671355	0.0	0.0	0.0	0.0	0.000120616	0.0001283	0.0	0.00030517	0.000110491	0.000358686	0.0	0.000896298	0.0	0.000154446	0.000222118	0.000507077	0.0	0.000453795	0.0	0.0	0.00104651	0.0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0.0010927	0.000406546	0.00123864	0.000785813	0.00132428	0.000197052	0.000154791	0.0	0.000179726	0.00228853	0.0025005	0.000155587	0.000348751	0.000372529	0.000695225	0.000815594	0.0	0.0	0.000501819	0.00042825	0.000199446	0.000477329	0.0	0.000393612	0.000160915	0.000532949	0.000181655	0.0012072	0.000164452	0.000177724	0.000223526	0.000597463	0.000139203	0.000475937	0.000125817	0.0	0.00167785	0.0
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.00196592	0.00122471	0.00177757	0.0	0.00185373	0.0	0.000408257	0.0	0.0	0.000655546	0.00379964	0.0	0.00033607	0.0	0.000931735	0.00142736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000171973	0.0	0.000414656	0.000598362	0.0	0.0	0.00138937	0.0	0.0	0.0	0.0	0.000466008	0.0
HISDEG-PWY: L-histidine degradation I	0.00442146	0.00105049	0.00562237	0.00396558	0.00521648	0.00805059	0.00432188	0.00689023	0.00544296	0.000708892	0.000378861	0.00720274	0.00163498	0.00351632	0.00670593	0.00648111	0.00424143	0.000606772	0.0016392	0.00337144	0.00904066	0.00715117	0.000149494	0.00643633	0.00788758	0.00431538	0.0120344	0.00255933	0.00629464	0.00235745	0.00777558	0.00417796	0.00814818	0.00859369	0.00447969	0.00663259	0.000669525	0.00430327
HISTSYN-PWY: L-histidine biosynthesis	0.00709866	0.00642486	0.00692174	0.00721478	0.00658437	0.0116488	0.00882394	0.011865	0.00920598	0.00506019	0.0036683	0.00961752	0.0111137	0.0116259	0.00914114	0.00829664	0.0104967	0.0128692	0.0106219	0.00946811	0.0108232	0.0100533	0.0147056	0.00913819	0.00956408	0.00852162	0.015549	0.0065605	0.00975489	0.0119202	0.0105277	0.0074567	0.0115099	0.0102868	0.00832504	0.0103849	0.00503886	0.0101439
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.00110354	0.000592026	0.00121736	0.00119079	0.00185176	0.0	0.000138906	0.0	0.0	0.0019452	0.00302563	0.0	0.000618819	0.0	0.000861626	0.000650854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218772	0.0	0.00162081	0.0	0.0	0.0	0.000750489	0.0	0.0	0.000149474	0.0	0.00204906	0.0
HSERMETANA-PWY: L-methionine biosynthesis III	0.00401527	0.00735274	0.00417867	0.00509378	0.00379204	0.00088664	0.00528543	0.00428152	0.00586444	0.00456676	0.00400157	0.00326353	0.00327008	0.000329978	0.00390838	0.00432801	0.00183646	0.00155166	0.00393356	0.00527462	0.00178381	0.00363616	0.0060633	0.00428327	0.00688894	0.00396548	0.00129096	0.00471602	0.00237558	0.00261019	0.0021475	0.00339871	0.00214483	0.00314522	0.00645971	0.00507136	0.00511486	0.00719565
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.00729682	0.0108621	0.00478042	0.00766892	0.00725486	0.0101248	0.00841054	0.0075976	0.00970234	0.00811879	0.00817172	0.00985444	0.0172565	0.0171046	0.00995131	0.00906499	0.0145387	0.0221261	0.019356	0.0144394	0.0092638	0.00662275	0.0231103	0.00808404	0.00917978	0.0088979	0.0090751	0.00888471	0.00917766	0.017816	0.0115822	0.009596	0.00988372	0.00921585	0.0081632	0.00994939	0.00860749	0.00881722
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0.000518296	0.000141663	0.000290686	0.000607536	0.000483362	0.0	0.0	0.0	0.0	0.000109306	0.000498988	0.0	0.0	0.0	0.0	0.000266324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033668	0.0	0.0	0.0	0.000239685	0.0	0.0	0.0	0.0	0.000421526	0.0
KETOGLUCONMET-PWY: ketogluconate metabolism	0.000448205	0.000593446	0.00139369	0.000922697	0.000614967	0.0	0.000103816	0.0	0.0	0.000758166	0.00354321	0.0	9.61161e-05	0.0	0.000635485	0.00132241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000254813	0.0	8.73818e-05	0.0	0.0	0.0	0.000801992	0.0	0.0	0.0	0.0	0.000609808	0.0
LACTOSECAT-PWY: lactose and galactose degradation I	0.0	0.00250803	0.0	0.000293708	0.0	0.0	0.000282863	0.0	0.0	0.000279624	0.000780192	0.0	0.000170418	0.0	0.0	0.0	0.0	0.0	0.0	0.000223318	0.0	0.0	0.000264919	0.0	0.0	0.000305437	0.0	0.0	0.000408662	0.0	0.0	0.00016243	0.0	0.0	0.0	0.0	0.000175136	0.000831147
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0.0	0.0	0.000407699	0.0	0.0	0.0	0.0	0.0	0.0	0.000203765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000552816	0.0	0.0	0.0	0.000411848	0.0	0.0	0.0	0.0	0.0	0.0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.00185738	0.00112286	0.00201353	0.0020164	0.00276569	0.0	0.000272502	0.0	0.0	0.00309713	0.00429801	0.0	0.00108673	0.0	0.0014261	0.00117778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000421044	0.0	0.00258902	0.0	0.0	0.0	0.00132088	0.0	0.0	0.000292782	0.0	0.00321565	0.0
METH-ACETATE-PWY: methanogenesis from acetate	0.0	0.00173047	0.0	9.14932e-05	0.0	0.000129892	0.000641532	0.00030237	0.00060282	0.0010143	0.0002919	0.000472646	0.0	0.0	0.000124903	0.0	0.0	0.0	0.0	0.0	0.000344627	0.000137427	0.0	0.000341079	0.0	0.000519101	0.0	0.0	0.000446858	0.0	0.0	0.000375357	0.0	0.0	0.000287241	0.0	0.000976305	0.000653924
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0.000271618	0.000139619	0.00024439	0.000567303	0.000516467	0.0	0.0	0.0	0.0	0.00072992	0.000682063	0.0	0.0	0.0	0.00021747	0.000329112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2863e-05	0.000149361	0.000148843	0.0	0.0	0.0	0.00022358	0.0	0.0	0.0	0.0	0.00135341	0.0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0.00174977	0.000993153	0.00192093	0.00186522	0.00272098	0.0	0.000240424	0.0	0.0	0.00287404	0.00404669	0.0	0.00100608	0.0	0.00136373	0.00107889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037588	0.0	0.00244897	0.0	0.0	0.0	0.00123117	0.0	0.0	0.000259079	0.0	0.00298268	0.0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0.000347276	0.000172541	0.000336186	0.00117666	0.000377936	0.0	0.0	0.0	0.0	0.000881007	0.000918209	0.0	7.58806e-05	0.0	0.000216057	0.000234091	0.0	0.0	0.000421975	0.000211788	0.0	0.0	0.0	0.000126309	0.0	0.000162533	0.0	0.000258198	0.0	0.0	0.0	0.00019125	0.0	0.0	0.0	0.0	0.000386445	0.0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0.00421213	0.00096162	0.00273734	0.00304599	0.00314427	0.00505155	0.00216839	0.00467036	0.00116234	0.00179222	0.00326045	0.00261763	0.000960224	0.00118608	0.00228281	0.00376836	0.00234866	0.000480801	0.00111747	0.00161257	0.00476291	0.00185672	0.000405478	0.000494956	0.000455382	0.00243319	0.00336493	0.00355057	0.00210068	0.000831644	0.00206975	0.00118083	0.00560784	0.0041586	0.000912321	0.00370937	0.00239107	0.0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.00741955	0.00927026	0.00809319	0.00760139	0.00697586	0.0112725	0.0097406	0.0117212	0.0115767	0.00742582	0.00455093	0.00969037	0.00943019	0.0127862	0.00915949	0.00854321	0.0115407	0.0115268	0.00995401	0.0178986	0.0115363	0.0109617	0.00579629	0.0103021	0.011269	0.00980923	0.0141064	0.00720329	0.0110346	0.012255	0.0104111	0.00909105	0.0116117	0.0109012	0.0121918	0.0110069	0.00634402	0.011282
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.00456505	0.00695037	0.00463077	0.00514418	0.00543155	0.00350564	0.00484982	0.00235507	0.00449154	0.00877795	0.00612795	0.0047918	0.0053331	0.00897434	0.00675012	0.00452642	0.00502327	0.0100742	0.00899559	0.00199462	0.00183475	0.00379491	0.0104105	0.00400047	0.00342855	0.00500561	0.00243772	0.00560277	0.00426511	0.00802102	0.00437386	0.00526103	0.00351267	0.00223812	0.00605428	0.00457441	0.00645655	0.00704801
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.00383583	0.00614094	0.00336145	0.00340465	0.00350359	0.00477165	0.00336193	0.000533212	0.00494895	0.00562369	0.00446649	0.00125058	0.00422553	0.00226043	0.00270659	0.00282979	0.0	0.003923	0.00303976	0.00327213	0.00152597	0.00244113	0.00256857	0.0034693	0.00385395	0.00497366	0.00280264	0.00354701	0.00165145	0.00215882	0.000509144	0.0023443	0.0	0.00369698	0.00632576	0.00431763	0.00452218	0.00409355
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0.000481906	0.0	0.000401847	0.0	0.000384801	0.0	0.0	0.0	0.0	0.000653791	9.7371e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000153484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000323136	0.0
ORNDEG-PWY: superpathway of ornithine degradation	0.00122675	0.000539997	0.00123828	0.000658481	0.00114206	0.0	0.0	0.0	0.0	0.000789276	0.00354241	0.0	0.000313256	0.0	0.000678047	0.000684408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000369719	0.0	0.00137591	0.0	0.0	0.0	0.000597816	0.0	0.0	0.0	0.0	0.00230295	0.0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.000980181	0.00037218	0.00137834	0.000256257	0.00134496	0.0	0.0	0.0	0.0	0.00120317	0.00188073	0.0	0.00020814	0.0	0.000633245	0.00064439	0.0	0.0	0.0	0.0	0.0	0.000311337	0.0	0.0	0.000389211	0.000253975	0.0	0.00147857	0.0	0.0	0.0	0.000229121	0.0	0.0	0.0	0.0	0.00168156	0.0
P108-PWY: pyruvate fermentation to propanoate I	0.000259883	0.000214443	0.0	0.00107204	0.000227987	0.000220835	0.00011679	0.0	0.0	0.000873804	0.000305358	0.0	6.0558e-05	0.0	0.000402356	0.00036832	0.0	0.000417776	0.000213336	0.0	0.0	0.0	0.0	0.0	0.0	0.000161767	0.0	0.000546779	0.0	0.0	0.0	0.000189547	0.0	0.0	0.0	0.0	0.000576174	0.0
P122-PWY: heterolactic fermentation	0.000456598	0.000301304	0.000570032	0.0013574	0.00072153	0.0	0.0	0.0	0.0	0.000520104	0.00096284	0.0	6.52622e-05	0.0	0.0	0.000602273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111317	0.0	0.0	0.0	0.000336923	0.0	0.0	0.0	0.0	0.000869395	0.0
P124-PWY: Bifidobacterium shunt	0.0	0.001022	0.0	0.0	0.0	0.0	0.00022628	0.0	0.00046902	0.0	0.000248704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000504483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00172596	0.00165805
P161-PWY: acetylene degradation (anaerobic)	0.00178104	0.000483024	0.00145612	0.000907145	0.00085508	0.0	0.0	0.000135636	0.000294435	0.00224996	0.00370227	0.0	0.000401088	0.0	0.0011343	0.000280659	0.0	0.0	0.0	0.0	0.000290406	0.0	0.0	0.0	0.0	0.000346133	0.0	0.00117577	0.0	0.0	0.0	0.000140029	0.0	0.0	0.0	0.0	0.00444313	0.0
P164-PWY: purine nucleobases degradation I (anaerobic)	0.0	0.00187414	0.0	0.00157732	0.0019031	0.0	0.000837414	0.000732467	0.000778699	0.00185467	0.00139059	0.0	0.000212204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000303971	0.0	0.0	0.0	0.000968966	0.0	0.0	0.000652559	0.0	0.000749411	0.00128037	0.0	0.0	0.000215163	0.000364845	0.00124772	0.000517172
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0.0	0.000877352	0.0	0.000472504	0.000893853	0.0	0.000157387	0.0	0.000892251	0.0017785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000253494	0.0	0.0	0.000136515	0.000390877	0.0	0.0	0.00029009	0.0	0.000120793	0.000271551	0.0	0.0	7.15326e-05	0.000166367	0.00021464	0.000632923	0.000854196	0.000134987	6.05598e-05
P221-PWY: octane oxidation	0.000155668	2.19395e-05	0.000245064	9.017e-05	0.000348601	0.0	0.0	0.0	0.0	0.000329386	0.000184612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000149263	0.0	0.0	0.0	2.77537e-05	0.0	0.0	0.0	0.0	2.96355e-05	0.0
P23-PWY: reductive TCA cycle I	0.000109103	0.000102926	0.0	0.0	0.000288184	0.0	0.0	0.0	0.0	0.0	0.000153379	0.0	6.70545e-05	0.0	0.0	0.0	0.0	0.0	0.000242683	0.000525932	0.0	0.0	0.0	0.0	0.0	8.29702e-05	0.0	0.000421318	0.0	0.0	0.0	0.000107484	0.0	0.0	0.0	0.0	0.000202123	0.0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0.00169019	0.00159055	0.00162496	0.00177511	0.00175676	0.0	0.000345269	0.0	0.0	0.00240256	0.00222795	0.0	0.00022874	0.0	0.000759274	0.00102269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000639224	0.0	0.00145449	0.0	0.0	0.0	0.00102061	0.0	0.0	0.0	0.0	0.00270433	0.0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	0.00147924	0.00543947	0.00104446	0.00313469	0.000380078	0.000232849	0.00417052	0.00214102	0.00247306	0.00486214	0.00307281	0.00148935	0.00158742	0.000660159	0.00152209	0.00148551	0.00173836	0.00237941	0.000958431	0.00240938	0.00088829	0.00230997	0.00155831	0.00254118	0.00130383	0.00301364	0.000309724	0.00120658	0.00194556	0.00149056	0.000513198	0.00179767	0.00143198	0.00130627	0.00620777	0.00255794	0.00484426	0.00417788
P42-PWY: incomplete reductive TCA cycle	0.000523568	0.00020536	0.000632209	0.000654696	0.000509862	0.000243359	0.0	0.0	0.000186682	0.00130089	0.00103364	0.0	0.000844503	0.0	0.000291733	0.000199556	0.000372195	0.000514833	0.000948045	0.000734394	0.0	0.000458364	0.0	0.000219711	0.0	0.000219929	0.0	0.00172816	0.000671073	0.0	0.0	0.000174905	0.0	0.000551271	0.000598445	0.000814409	0.000813396	0.0
P441-PWY: superpathway of N-acetylneuraminate degradation	0.00294996	0.00302739	0.00288506	0.00213664	0.00198769	0.0	0.0	0.000500534	0.00115102	0.00287469	0.00383136	0.0	0.000979139	0.0	0.00120554	0.00149699	0.0	0.0	0.00070324	0.000880692	0.000921945	0.000357791	0.0	0.0	0.0	0.00123713	0.0	0.00253814	0.000599107	0.0	0.000443011	0.00200949	0.0	0.0	0.0	0.0	0.0039098	0.000755448
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0.00234526	0.00221926	0.00172479	0.0013259	0.00223078	0.0	0.000256583	0.000182569	0.00142029	0.00120588	0.00480892	0.0	0.000349095	0.0	0.00135952	0.0012276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00069566	0.0	0.00229307	0.000472003	0.0	0.000132565	0.00141824	0.0	0.0	0.0	0.0	0.00429257	0.000428929
PANTO-PWY: phosphopantothenate biosynthesis I	0.00739787	0.0066711	0.00818253	0.00675308	0.00675614	0.010821	0.00781294	0.0105686	0.00989068	0.00433802	0.00383899	0.00921347	0.00579821	0.00738886	0.00919014	0.00770064	0.00906995	0.00584873	0.00556156	0.0104754	0.0104539	0.00984935	0.00333423	0.00876376	0.00889105	0.00798845	0.0104868	0.00754272	0.00929296	0.00684523	0.0107529	0.00740475	0.00970218	0.00988128	0.00813486	0.00876057	0.00427375	0.00805429
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	0.00670663	0.00707587	0.00699855	0.00682379	0.00641303	0.0103973	0.00813942	0.0106766	0.0103406	0.0051077	0.0038981	0.00880753	0.00708795	0.00689506	0.00879268	0.00761063	0.00841721	0.0051005	0.00417327	0.0116393	0.0101243	0.00950422	0.00469052	0.00884419	0.00940045	0.00806864	0.0116745	0.00734726	0.00934568	0.00606986	0.0100623	0.00684611	0.00967273	0.00968223	0.00874118	0.00909971	0.00435493	0.00889964
PENTOSE-P-PWY: pentose phosphate pathway	0.00466643	0.00326489	0.00517626	0.00490994	0.00540153	0.00443526	0.00427482	0.00302689	0.00448265	0.00345727	0.00419359	0.00543303	0.00202262	0.00417746	0.00649247	0.00486904	0.00408762	0.000833625	0.00191288	0.00176785	0.00272984	0.00463819	0.0	0.00458864	0.00424636	0.00458203	0.0032398	0.0048326	0.00459169	0.0029095	0.00541802	0.00459916	0.0044011	0.00313453	0.00256792	0.0046342	0.00423913	0.00610658
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.00753718	0.0095173	0.00861174	0.00740911	0.00756853	0.0110923	0.0097291	0.0120779	0.0118581	0.00812522	0.00647348	0.0100153	0.0168362	0.0186224	0.00951466	0.00825295	0.0129448	0.0189506	0.0189963	0.0145474	0.0115286	0.0109871	0.0237912	0.0101622	0.0107779	0.00994126	0.0142331	0.00791672	0.0109628	0.0167595	0.0107463	0.0101904	0.0107883	0.0106524	0.0130518	0.0114115	0.00689109	0.0108459
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.00530971	0.00217757	0.0056559	0.00522289	0.00494497	0.00414504	0.00341273	0.00554781	0.00265659	0.00421713	0.00497414	0.00427274	0.00382361	0.00176743	0.00535916	0.00441374	0.00798255	0.00532829	0.00341955	0.00317367	0.00196225	0.0046877	0.0032206	0.0041704	0.00366014	0.00493222	0.00404994	0.00435588	0.00475492	0.00496406	0.000338823	0.00403325	0.00518225	0.00121941	0.00154427	0.0059475	0.00464317	0.000674237
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0.000206416	0.000523582	0.0	0.000379123	0.0	0.0	0.000750204	0.0	0.0	0.00137291	0.000169906	0.0	0.0	0.0	0.000338308	0.000255883	0.000572552	0.000403102	0.000311705	0.000337637	0.0	0.000224572	0.000201185	0.0	0.0	0.000820885	0.0	0.000729057	0.0	0.0	0.0	0.0	0.0	0.0	0.000270197	0.0	0.000621968	0.0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0.00224166	0.00119501	0.00186762	0.00124258	0.00161419	0.0	0.00141909	0.000512393	0.0	0.00261806	0.00278039	0.000118251	0.000602371	0.0	0.00118316	0.00134506	0.000553415	0.000365135	0.000427269	0.000348163	0.000145364	0.000349951	0.000323507	0.000309351	0.000730601	0.00102271	0.0	0.00148074	0.000164208	0.0	0.0	0.00142519	0.000186236	0.000331034	0.000758494	0.0	0.00321069	0.000485082
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0.00256118	0.00116592	0.00431732	0.00251581	0.00506844	0.00318218	0.00270193	0.00236095	0.00167917	0.00187611	0.00265008	0.00451132	0.0008374	0.000847663	0.00100769	0.00345725	0.000559993	0.000377053	0.000539969	0.000817252	0.00366591	0.00458889	0.0	0.00418618	0.00431925	0.00266862	0.00324009	0.00151561	0.00260169	0.00133259	0.00470014	0.00419708	0.00278981	0.00460862	0.00178425	0.00230015	0.00193021	0.00278333
PPGPPMET-PWY: ppGpp metabolism	0.000296962	0.00181501	0.000487619	0.00120715	0.000498328	0.0	0.000294524	0.000269274	0.000847583	0.00172575	0.000889441	0.0	0.00012295	0.0	0.000522736	0.000116891	0.0	0.0	0.000598848	0.000359145	0.0	0.0	0.0	0.0	0.0	0.000339325	0.0	0.0004996	0.000420892	0.0	0.000183542	0.000236875	0.000226253	0.0	0.0	0.0	0.000832691	0.000219406
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0.00152274	0.00012206	0.00160304	0.00237457	0.00154482	0.0	0.0	0.0	0.0	0.00106786	0.00191791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000961863	0.0	0.0	0.0	0.00115108	0.0	0.0	0.0	0.0	0.00146844	0.0
PWY-1042: glycolysis IV	0.00862809	0.012344	0.012802	0.00851088	0.00907197	0.0114985	0.0146348	0.0141741	0.0139286	0.0103167	0.00823966	0.0106757	0.0211853	0.023475	0.00555993	0.00991712	0.0179506	0.0252548	0.0228546	0.0211646	0.0139094	0.0146594	0.0289283	0.013471	0.0174552	0.0123744	0.0142257	0.00939043	0.0146163	0.0219155	0.0103026	0.0134755	0.0144367	0.013133	0.0150353	0.0126736	0.00842483	0.0170792
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0.00456908	0.00145341	0.00230553	0.00377935	0.00446102	0.00782016	0.00231532	0.00415024	0.00151234	0.00171795	0.00421565	0.00494813	0.00961462	0.0111944	0.0068053	0.00546471	0.00649339	0.0123441	0.0127405	0.00742794	0.00573599	0.00246131	0.014978	0.00173537	0.00189811	0.0038371	0.00426042	0.004622	0.0036081	0.0105135	0.00776334	0.00409146	0.00648768	0.00433162	0.000664398	0.00530016	0.00212108	0.0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	0.0	0.00221353	0.000465839	3.99939e-05	0.0	0.0	0.000721798	0.000349569	0.00375102	0.000211378	0.00022385	0.0	0.0	0.0	0.000995096	0.000690527	0.0	0.0	0.000722849	0.0	0.000469695	0.0	0.0	0.000276675	0.0	0.000408965	0.0	0.000168839	0.000823225	0.0	0.0	0.00138193	0.0	0.0	0.0	0.0	0.00104864	0.00159047
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.00217805	0.00238262	0.00180497	0.00154435	0.00263313	0.0	0.000963286	0.0	0.000314455	0.00243968	0.00364651	0.0	0.000777933	0.0	0.00115069	0.00171243	0.0	0.0	0.000978486	0.000701996	0.000149191	0.0	0.0	0.0	0.0	0.00119921	0.0	0.0022562	0.000256872	0.0	0.0	0.00136865	0.0	0.0	0.000347971	0.0	0.00343831	0.00171674
PWY-2941: L-lysine biosynthesis II	0.00324924	0.00351621	0.000176219	0.00526495	0.00287404	0.00503086	0.00303856	0.00273593	0.000287602	0.00227346	0.00242992	0.00581458	0.00180403	0.00212537	0.00732753	0.00527129	0.00115802	0.00100943	0.000332552	0.0014431	0.00426047	0.00288635	0.0	0.00479038	0.00551272	0.00305926	0.0038152	0.00532031	0.00301472	0.00297555	0.00495768	0.00275588	0.00450438	0.00434605	0.0010072	0.00353953	0.00109299	0.000612467
PWY-2942: L-lysine biosynthesis III	0.00692728	0.00935643	0.00804646	0.00675823	0.00726051	0.0110197	0.0079575	0.0108487	0.0104557	0.00642698	0.00472654	0.0102971	0.0118921	0.0133561	0.00889356	0.00768844	0.0112177	0.0139408	0.0131578	0.0133919	0.0116779	0.010369	0.0166628	0.00894833	0.00945137	0.00806781	0.0123769	0.00730322	0.00971799	0.0131655	0.0106223	0.0079762	0.0110263	0.00987434	0.00970661	0.00991052	0.00583919	0.00827873
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.00407717	0.00683247	0.00339867	0.00445248	0.00517339	0.00616072	0.0061355	0.00468241	0.00717818	0.00545826	0.00578068	0.00293065	0.00370735	0.00308557	0.0050381	0.00442233	0.00216161	0.00457006	0.00381193	0.00439216	0.00125475	0.00526206	0.00377737	0.00588911	0.00621678	0.00614672	0.00375193	0.00554568	0.00362719	0.00383702	0.00203497	0.00398439	0.00379278	0.00512464	0.00613116	0.00596703	0.00616191	0.00698605
PWY-3841: folate transformations II (plants)	0.00718628	0.00886352	0.00732412	0.00724254	0.00662427	0.0111248	0.0104761	0.0114324	0.0105545	0.00737114	0.00540593	0.00931848	0.0126359	0.0134072	0.00941431	0.00808694	0.011713	0.0128438	0.0115627	0.0106655	0.011639	0.0104722	0.0157585	0.00968793	0.0103297	0.00944613	0.0137144	0.00764292	0.0105501	0.0133335	0.0105684	0.00833926	0.0113788	0.0113439	0.0142078	0.010924	0.00603755	0.0100325
PWY-4041: &gamma;-glutamyl cycle	0.00189147	0.00220824	0.00304542	0.00150857	0.00264461	0.0	0.00121728	0.000347714	0.0020587	0.00133731	0.0033289	0.0	0.000864704	0.000501684	0.0017625	0.00231337	0.0	0.0	0.000878668	0.00104488	0.000167917	0.000454603	0.000150203	0.00226138	0.0	0.00111223	0.00499894	0.00266641	0.000366926	0.00117731	0.00135504	0.00168762	0.0	0.0	0.000149051	0.00123496	0.00329775	0.00773839
PWY-4984: urea cycle	0.00320313	0.00149004	0.00256358	0.00205987	0.00236272	0.00266383	0.00586569	0.00352473	0.00609363	0.00151375	0.000214634	0.00292336	0.00172916	0.00116331	0.000329459	0.000224351	0.00309699	0.00071036	0.0013237	0.00298397	0.00154631	0.00399582	0.000386594	0.00465696	0.00446506	0.00538135	0.000986136	0.003112	0.00494515	0.00154147	0.00108623	0.00289974	0.00244934	0.00301133	0.00263191	0.00317907	0.00142098	0.0
PWY-5005: biotin biosynthesis II	0.0	0.000851085	0.0	0.0	0.000360357	0.000509605	0.000658785	0.0	0.000782165	0.00112676	6.30556e-05	0.0	0.000479926	0.000265241	0.000663916	0.000316794	0.0	0.000383626	0.0	0.000349204	0.000135766	0.00015566	0.0	0.000182747	0.0	0.000622374	0.000622083	0.000187219	0.0	0.000258183	0.000171253	0.000722096	0.0	0.00103333	0.0	0.000432161	0.000163968	0.000538049
PWY-5022: 4-aminobutanoate degradation V	0.0	0.0	0.0	0.0014255	0.0	0.0	0.0	0.0	0.0	0.000997337	0.0	0.0	0.0	0.0	0.000963556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00225427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5030: L-histidine degradation III	0.00402889	0.000879334	0.00602304	0.00397207	0.00545397	0.00868931	0.00431281	0.00585585	0.0049366	0.000889345	0.000365114	0.00679226	0.00160948	0.0034789	0.00661766	0.00588651	0.00416931	0.000705582	0.00117243	0.00226003	0.00818091	0.00726454	0.000220762	0.00656432	0.00788531	0.00383472	0.00805903	0.00224225	0.00590121	0.00210472	0.00816916	0.00428541	0.0073545	0.00796425	0.00343717	0.00544175	0.00054198	0.00488799
